Gene,T-statistic (Deletion vs Neutral),P-value (Deletion vs Neutral),Cohen's d (Deletion vs Neutral)
MCAT,-2.599860222285043,0.0299373776623608,-1.1653448886462918
MCCC2,-3.74466262667096,0.002051850050184,-1.1021884656437226
MLLT4,-3.726127359486132,0.0148603444286422,-2.2611856508906345
MLYCD,-8.880225639864614,0.0001027352215055,-3.018712196595769
MOB3A,-3.533582957973575,0.0070178765260873,-1.2696325071851944
MOSPD2,-4.885762775035315,8.745093471705148e-05,-0.9740837372034964
MPP6,-6.6371179575022,0.0002905386621687,-1.2553881996203795
MSH3,-4.347457844476598,0.0041979245622391,-2.0514939089558664
MSRA,-2.736125217001973,0.0164981366673017,-0.8618265686583781
MTAP,-9.266138481773233,0.0001184323792812,-3.586216447227016
MVD,-4.539067972025068,0.0024642500710627,-1.2209191907549974
MYO5C,-3.644686938945311,0.0008291276002429,-0.5828456692957147
NAE1,-9.867680497512362,2.3565391457507362e-08,-2.2227981366964813
NAT1,-4.183168070573574,0.0004277857636777,-1.390105424398456
NCS1,-6.608900561551105,7.457058173579037e-07,-1.2550038277912203
NDUFAF2,-5.213966897582685,0.0006526741512664,-1.3142769125474938
NDUFS7,-2.9526012084411386,0.0133263673425778,-1.2774396193185826
RPUSD2,-7.124177384631265,3.861404226019724e-06,-1.2993756629102555
RTF1,-8.769760716236158,2.8153704657993248e-05,-1.974645595585161
SAFB,-6.072369851364574,9.726987860707675e-06,-1.5129552264629478
SBF1,-5.552746509108395,1.2979459572553357e-05,-2.088228818240815
SCAMP1,-4.507575862281617,0.0010300001596096,-1.5404123184322216
SCO2,-3.530877103783612,0.003069661449233,-1.5143399110200355
SGTA,-5.017951559816291,0.0121142052968542,-2.534186541457003
SH2D4A,-6.126263764343661,2.9535541736870035e-06,-1.952673996709157
SKIV2L2,-3.7752345708315778,0.0195122267850085,-1.0543101962636758
SLC20A2,-4.630068859634931,0.0339606736604278,-1.159476797983915
SLC25A6,-7.408210356981221,0.0001044160525616,-1.6974213146716317
SLC30A5,-3.580175835646532,0.0111046961111867,-1.5729783729618425
SLC39A14,-3.354120460802543,0.0021741616031858,-0.910174475599272
SMARCA2,-3.9349546938650737,0.0117415089597796,-1.4280884495659345
SMN1,-4.714627179682069,0.0007062808054624,-1.577281552109055
SMS,-4.697104668815399,0.0477579408432826,-1.6122675109484397
SNTB2,-4.068411491743043,0.0025234239600504,-1.2797480926546467
SORD,-9.589650970327073,5.1566853639625824e-05,-1.86458675364976
STEAP3,-8.10808628038674,5.856112030822584e-06,-1.1263851434246042
STK11,-3.184701719701048,0.0079678795647575,-1.5314874178334308
STK24,-11.512478328946244,0.007239688655412,-3.375040270173776
SUCLA2,-5.426109844885703,0.0226688067212729,-3.422237231513967
SUGT1,-9.881173156959278,0.0304987363991652,-4.462114893441385
SYAP1,-6.004816016275253,0.0014863824533964,-1.4392915393711
SZRD1,-5.82723653364271,0.000231864007058,-1.13800914727323
TAF9,-2.62496536049862,0.039672484601419,-1.5747041505083814
TBC1D22A,-2.8319233998199853,0.0120982436806236,-1.3207153402444871
TBCA,-6.312653777029053,0.0001452428776209,-2.455316278282103
TBP,-2.5972122392736803,0.0284396833923692,-0.8792685128428668
TCF25,-7.029965760129998,4.286584197811728e-07,-1.5056323304338008
TCP1,-5.499262035568579,0.0033032671583708,-2.207594273833603
TERF2,-4.504751679618182,0.0002421812788454,-1.0336381308055873
THOP1,-6.68447041514929,0.0001039300536073,-2.4300824246155632
TIMM13,-2.7747362493789605,0.0472062291964096,-1.6614655617265377
TJP3,-3.64863390768836,0.0051616217621154,-1.347912634380529
TLDC1,-4.355392039544929,0.0092344158686682,-1.6782535680396036
TMED1,-8.48627101680047,1.4068385775774584e-09,-1.524651577673744
TMEM66,-4.184816158107081,0.0005289646793001,-1.243196793575603
TMEM87A,-5.2791769189418805,0.0081033616925535,-1.611233466380125
