Drug,N_CellLines,Pearson_r,P_value,NegCorr
PIK-93,12,-0.11724394512635694,0.7166932154823077,True
AZD6482,13,-0.07913791959874705,0.7196469492056793,True
VOXTALISIB,13,0.11016776491116226,0.7201298433775521,False
"TELOMERASE INHIBITOR IX, MST-312, MST 312, MST312",10,0.12992203843628422,0.7205444461908098,False
SB 505124,13,-0.07517884997321081,0.726989388257421,True
UPROSERTIB,10,0.09141086848390109,0.7271491739712646,False
"METAP2 INHIBITOR, A832234",13,-0.10616254319845117,0.7299564562620809,True
PEVONEDISTAT,11,0.0891045045554597,0.7337956058983979,False
PHA-793887,12,0.10747638999426387,0.7395388059396734,False
FR-180204,12,-0.1072866515965324,0.7399845734276488,True
LENALIDOMIDE,12,0.10704506375461484,0.7405522612098318,False
SL 0101-1,12,-0.10653318844418123,0.7417554679929789,True
LJI308,10,-0.11887908209206112,0.7435960103286695,True
PEMETREXED,13,-0.0996782046746464,0.7459456661528262,True
CEDIRANIB,10,0.11579461981559153,0.7500683885705702,False
LFM-A13,11,0.10815787678837907,0.7515924955721239,False
SB-216763,11,0.10709561896144595,0.753966829394901,False
ICL1100013,12,0.10112530874660249,0.7544991304184692,False
"WEHI-539, WEHI539",10,-0.11158550962926907,0.7589233443924706,True
GDC-0810,10,-0.11104723177883935,0.7600575955120905,True
QUIZARTINIB,12,0.09551761697657143,0.7677732339795569,False
BDP-00009066,10,0.1066613422226835,0.7693146612305433,False
5-FLUOROURACIL,12,-0.06714831097399668,0.7724311297130523,True
TRETINOIN,12,0.09213280180337528,0.7758135584833409,False
NIRAPARIB,7,0.1324556839984314,0.7771036068839,False
AUY922,11,-0.06561270043656055,0.7775078521158303,True
"ACETALAX, OXYPHENISATIN ACETATE",7,-0.1310110648857884,0.7794925067448633,True
TASELISIB,10,-0.10116448182220522,0.7809536351651024,True
ERLOTINIB,10,0.08237646455648451,0.7990997121318869,False
KIN001-266,12,-0.08051519179722846,0.8035598501193161,True
