Drug,N_CellLines,Pearson_r,P_value,NegCorr
UNC1215,12,0.5178160935146682,0.08463303139858773,False
GDC-0941,12,0.30888165079176044,0.08540911880463804,False
LINIFANIB,12,0.5148646808074202,0.08673428592997501,False
VOXTALISIB,13,-0.49248505431051137,0.08731210223079701,True
RUXOLITINIB,12,0.4015577145615774,0.08836060261643947,False
OLAPARIB,12,-0.2964835934591623,0.08863549582712435,True
CARMUSTINE,7,0.6843745462596181,0.08988868295625357,False
EPIRUBICIN,10,-0.560164677256128,0.09215717608653146,True
CAMPTOTHECIN,10,-0.5548594517267157,0.09595604263983702,True
DOCETAXEL,12,-0.31488769575998027,0.09615969390256336,True
TW-37,12,-0.5004560079301598,0.09749997258956994,True
PONATINIB,11,0.5214004165004994,0.1000030281474367,False
PFI-1,11,0.518230742771946,0.10245341381604223,False
PIPERLONGUMINE,11,-0.5166247944932347,0.1037097336450854,True
BIX02189,12,0.49019484469919716,0.10569036957811755,False
PEVONEDISTAT,11,-0.4052895933457345,0.10654589269562763,True
XMD8-92,7,0.656667881095035,0.10909474981962063,False
SHIKONIN,10,-0.5343312161196,0.111586832291932,True
EHT 1864,12,-0.48291724959593046,0.11176884194857466,True
GEFITINIB,12,0.34299243909965255,0.11812083843334506,False
SN-38,12,-0.4750667343407866,0.11858043566443117,True
IBRUTINIB,7,0.6426625117033393,0.11954092004189328,False
"WHI-P97, KIN001-055",12,0.47273625984194917,0.12065385808774903,False
BIBR-1532,10,0.5229733123330084,0.12088093258024918,False
TALAZOPARIB,12,-0.34000043097097904,0.12157485132394859,True
VORINOSTAT,12,-0.33798978393595414,0.123936520447186,True
XAV-939,12,0.3615862522645374,0.12822793651011388,False
ZM-447439,12,-0.4630035637058335,0.12956980039950822,True
SERDEMETAN,12,-0.46270228007809866,0.1298524521317815,True
LENALIDOMIDE,12,-0.45914303179333066,0.13322201470446704,True
RUCAPARIB,12,-0.45580878211321774,0.13642962467604414,True
"SPHINGOSINE KINASE 1 INHIBITOR II, PF-543",13,0.43141074057211226,0.14104417665821128,False
HG-5-113-01,7,-0.6139060484370581,0.1425272838546136,True
FTI-277,11,0.4707199185686036,0.14393517611170142,False
IRINOTECAN,10,-0.49663492457480907,0.14423966199626367,True
VELIPARIB,12,-0.44729752589640204,0.1448430194415397,True
I-BET-762,11,0.35623762769841577,0.14678178943464978,False
ACY-1215,13,-0.4236993421660036,0.14908663968210573,True
"ISPINESIB MESYLATE, SB-715992",12,-0.43713002280712676,0.15532185740435112,True
TPCA-1,12,0.4369020482824644,0.15556219264931018,False
SB52334,12,0.42944780087515516,0.16355135469000956,False
"PICOLINICI-ACID, PICOLINATE",7,0.588771155862853,0.164291029306651,False
AZD6738,10,-0.4732706192094715,0.16710606442012815,True
QL-XII-61,7,-0.5833655821738647,0.1691726639612262,True
PF-4708671,12,-0.42166733986976496,0.17216197615160228,True
TOPOTECAN,7,-0.579716570098819,0.17250787704967135,True
AZD8931,10,0.4632584689093037,0.17752868520785944,False
AZD7762,12,-0.2930444525843829,0.18565357549974626,True
MIRIN,10,-0.3366742571599157,0.1863740106235881,True
EPZ004777,10,0.4540457841298701,0.18745114922899844,False
"CAP-232, TT-232, TLN-232",13,0.3896566984941578,0.18813235754204055,False
PEMETREXED,13,-0.38818050469765564,0.1899579943367494,True
NG-25,12,0.4058260447345897,0.19055822969442981,False
FR-180204,12,0.40544126062979896,0.19101957185435572,False
REFAMETINIB,12,0.289242945537045,0.19169003053572592,False
AR-12,11,0.42485961130652083,0.1927305236555473,False
IOX2,11,0.4207552210251354,0.19752680828116578,False
EPZ-5676,10,0.4383091136944195,0.20513746521652296,False
METHOTREXATE,12,-0.3903712498163517,0.2096313483082675,True
CAY10566,13,0.3727101145103545,0.20976113465619084,False
LEFLUNOMIDE,7,0.540395756041681,0.21045782426230114,False
AVAGACESTAT,13,0.2634330980968191,0.21358375966850107,False
GENENTECH CPD 10,12,-0.3806930557276055,0.2221442707678358,True
MIRA-1,10,0.42070424178475785,0.22602500381105736,False
PFI-3,10,0.3094077343412735,0.22686135970700658,False
MIM1,12,0.3759331494745454,0.22845932940920244,False
AT7867,13,0.3534543151460383,0.23612869133641035,False
PODOPHYLLOTOXIN,7,-0.5140664100404481,0.23787908248792003,True
CP466722,12,0.3686889098642265,0.23827412573674855,False
"METAP2 INHIBITOR, A832234",13,0.3408352137511034,0.25444538064356653,False
BLEOMYCIN (50 UM),12,-0.35457697375730035,0.2580987986026416,True
GSK269962A,11,-0.33618606891230796,0.2614004801492744,True
XMD14-99,12,0.35183761485910275,0.26205489726434616,False
ZIBOTENTAN,12,0.34962579221666346,0.2652746603545812,False
NVP-BHG712,12,0.34788356306891466,0.26782686854530413,False
AZD4547,10,-0.38714475341579463,0.2690445978957198,True
LGK-974,13,0.24014708479373703,0.2697108683757143,False
"UMI-77, UMI 77",10,-0.3847747004765432,0.2722401675946651,True
"KRAS (G12C) INHIBITOR-12, GTPL8020",7,0.48281428089235223,0.2724431082503355,False
ENZASTAURIN,12,0.343749369899174,0.27393956195033425,False
AZ960,7,0.4810358726027425,0.27447410113065057,False
"AKT INHIBITOR VIII, KIN001-102",12,0.2371294150516446,0.275957428553362,False
RTRAIL,12,-0.34211591865202357,0.27637660477907866,True
"GNE-317, GNE317, GNE 317",10,-0.3809668334220471,0.2774174565824563,True
CPI-613,13,-0.3236696619886313,0.2806769923960172,True
ALECTINIB,12,0.3355521114460939,0.28629414105555073,False
"FMK, KIN001-242",11,0.35208442540872936,0.28828575997885386,False
SAVOLITINIB,10,-0.37173207159018185,0.29019302290911186,True
"ML323, GTPL7898, AOB2313,",7,0.46477137380395206,0.2933615331078938,False
VENETOCLAX,10,0.3672432403748064,0.2965147472263499,False
CISPLATIN,12,-0.23305645550193052,0.29658518634612485,True
KU-57788,12,0.3255787358463181,0.3017436964781083,False
ZG-10,7,-0.4529120376342666,0.3074836849828489,True
BPD-00008900,10,0.3578676469107307,0.3099526746895672,False
"MK-8776, SCH900776",10,-0.35504768352478727,0.3140560497599517,True
LCL-161,13,0.23657246560117853,0.3152774188942988,False
VISMODEGIB,12,-0.3127090792222229,0.32235232202318476,True
TL-1-85,12,0.3120092431811209,0.3234945540574125,False
T0901317,12,0.3116613899539209,0.32406312336507703,False
CRIZOTINIB,7,0.36784874313248656,0.33006343596260923,False
CEDIRANIB,10,-0.34358987928639323,0.33101858491076996,True
QS11,11,0.3239360852123924,0.3311427902152869,False
PAC-1,11,-0.3191873336430586,0.33868836700853666,True
AZ6102,10,-0.33617795579228404,0.34223717379145335,True
YM-201636,12,0.30047476808253637,0.34263786036412985,False
KIN001-236,12,0.3003591900186954,0.3428326938340835,False
P22077,10,-0.3351589725124029,0.34379445011341053,True
MITOMYCIN-C,11,-0.3130118407077774,0.34863501973054967,True
"GSK343, GTPL8240, AOB3680, AK175558",7,0.4185628240892676,0.3499984242222975,False
BOSUTINIB,12,0.293720632788529,0.3541230433323489,False
OTX015,7,0.41511959909990664,0.35438853672862203,False
QL-VIII-58,7,-0.41405133355875035,0.3557552174036083,True
I-BRD9,10,0.3246008149588775,0.36014093806709474,False
KU-55933,12,0.2871618316229614,0.36546866809199147,False
DACTINOMYCIN,10,-0.23229812304967587,0.36961360508541835,True
"ACETALAX, OXYPHENISATIN ACETATE",7,-0.4004505641081154,0.3733452366859284,True
OSIMERTINIB,10,0.31479560934329415,0.375662204595835,False
"EPOTHILONE B, GNF-PF-193",11,-0.29656214174002454,0.3758597035026654,True
THZ-2-49,12,-0.28055123629640105,0.377093963887555,True
CYCLOPHOSPHAMIDE,10,0.31227825031688283,0.37969932021899966,False
TENIPOSIDE,7,-0.39211787011711263,0.38429337279395215,True
GSK2110183,10,-0.3060212248486239,0.38982520591998837,True
AGI-5198,10,0.30564974588711497,0.3904304560621418,False
ICL1100013,12,-0.27048467101857204,0.3951586600594885,True
