Drug,N_CellLines,Pearson_r,P_value,NegCorr
TUBASTATIN A,11,0.48357610244147997,0.13181645768197517,False
KOBE2602,13,-0.4399091400187644,0.13251725943885712,True
NPK76-II-72-1,12,0.45939237768198715,0.13298412704040563,False
681640,10,0.37798334907137465,0.13467776277659468,False
RUCAPARIB,12,0.45394768462880764,0.1382415935955438,False
GSK429286A,12,0.45269690641653904,0.1394680560058029,False
FLUDARABINE,7,0.6163998621531261,0.14045253577906364,False
GW-2580,12,-0.45120162268814445,0.14094346774648148,True
ZM-447439,12,0.44984148095396137,0.14229424682057454,False
"DMOG, DIMETHYLOXALYLGLCINE",11,0.47099042953795456,0.14367322963187404,False
PD-184352,12,0.44809849030838717,0.14403739578887453,False
TEMSIROLIMUS,12,0.4468244793487737,0.14532017580856485,False
HG-5-113-01,7,0.6063252337319507,0.14892834589517534,False
AR-42,11,0.4653658764850124,0.14918155260740112,False
WNT-C59,13,-0.33361524861653724,0.1505839482860962,True
"ML323, GTPL7898, AOB2313,",7,-0.6029706563569623,0.15180595572243774,True
LCL-161,13,-0.32847333503534343,0.15736656845437905,True
SHIKONIN,10,0.48058664963602915,0.15972725536774052,False
ETOPOSIDE,11,0.4541153858934848,0.16059123180580645,False
CPI-613,13,-0.41259884636278443,0.16117966322478694,True
"CETUXIMAB, ERBITUX",11,-0.44682117887719774,0.1682693703060597,True
VE-822,7,0.5828749736903621,0.16961921481376932,False
SELUMETINIB,12,0.2895927885009917,0.1698776947149808,False
APR-246,7,0.5806314201912611,0.17166868738301527,False
AZD7762,12,0.3001950253647999,0.17465327276759798,False
AZD5363,10,-0.4642799067190293,0.1764481644757937,True
AZ6102,10,-0.4615360367582825,0.1793596110173966,True
MIM1,12,-0.4150509042596377,0.1797040586919381,True
"EEF2K INHIBITOR, A-484954",13,-0.3951798393998258,0.1814002327155723,True
STF-62247,11,-0.43060732249414074,0.18613306302340235,True
LY2109761,7,-0.5627463042488438,0.18843803854308708,True
THAPSIGARGIN,11,0.4210325028878529,0.19720054903073783,False
DORAMAPIMOD,12,-0.39208329765643407,0.20746349643659384,True
FULVESTRANT,10,-0.31943862206730655,0.21136458706038935,True
CAY10603,11,0.40816740374851407,0.2126793927890157,False
XMD15-27,12,-0.38499948105961207,0.2165223250631795,True
PF-562271,11,0.3986853166178908,0.22453471933383132,False
BOSUTINIB,12,0.37590238420452304,0.2285004916022864,False
VINORELBINE,11,0.2734171734730635,0.23043028129602267,False
DACOMITINIB,13,-0.3548029749519288,0.23421967904818922,True
TOPOTECAN,7,0.5159655487772966,0.2358484920264851,False
TL-2-105,12,-0.3698419681226671,0.23669546457749324,True
THZ-2-102-1,12,0.36885089865406406,0.23805196969789322,False
PHA-793887,12,0.36689557373502923,0.24074176730482091,False
DOXORUBICIN,11,0.3846844410622962,0.2427324742339891,False
PFI-1,11,0.38457997289621804,0.2428713569464286,False
CP-724714,12,-0.3641330668056987,0.24457245016962642,True
OSI-027,12,0.36231840378391805,0.24710821890096163,False
NILOTINIB,12,0.25319363815171303,0.25557624072492174,False
SB-216763,11,0.3673863136542501,0.2663523075669123,False
LENALIDOMIDE,12,0.3484918564553902,0.2669341690207046,False
"SPHINGOSINE KINASE 1 INHIBITOR II, PF-543",13,-0.3323521479134348,0.2672196630924669,True
"MIM1, MIM 1, MIM-1",10,0.38435942594915895,0.2728022080042168,False
BELINOSTAT,11,0.3611948222694232,0.2751101145033103,False
RU-SKI-43,13,-0.3270051322708141,0.2754615017255454,True
BPD-00008900,10,0.3821177267700974,0.2758470732607985,False
"SABUTOCLAX, BI-97C1",7,0.4780332584442384,0.2779185794020951,False
SAVOLITINIB,10,0.3740641927216111,0.2869374445828157,False
ALECTINIB,12,-0.3350783304361212,0.28701770406701943,True
OTX015,7,0.47012930436538747,0.2870776255481994,False
TENIPOSIDE,7,0.47012060147378304,0.28708778344989244,False
BUPARLISIB,10,0.37244263517691123,0.28919900556613487,False
"AKT INHIBITOR VIII, KIN001-102",12,-0.23053042692747344,0.28993311598121846,True
SB 505124,13,-0.2228063787945927,0.2953386196977437,True
ALISERTIB,13,0.24482709250909956,0.2981818355619002,False
CABOZANTINIB,12,-0.3276108663152042,0.2985586849718628,True
IBRUTINIB,7,-0.4563707170177148,0.3033349495861195,True
GSK2578215A,10,0.3604503708935363,0.3062194221202576,False
NG-25,12,-0.3180846278735496,0.31365261609697515,True
UPROSERTIB,10,0.2580974373240997,0.31722023174429126,False
XMD11-85H,7,0.4404145559877891,0.3226786191473552,False
PODOPHYLLOTOXIN,7,0.4394219453081515,0.32389904566226296,False
DACINOSTAT,11,0.32674331161394576,0.3267246214361484,False
ABT-737,10,-0.34468048450871924,0.32938407552753235,True
AXITINIB,12,-0.30808627754858436,0.32993830619359493,True
LAPATINIB,10,-0.30509826478760665,0.3348927800986912,True
AR-12,11,0.32089458110152724,0.3359652650215058,False
I-BRD9,10,-0.33942822944299994,0.3372940055451581,True
TALAZOPARIB,12,0.21465434023953894,0.3374108269319407,False
KIN001-042,13,-0.28939512286584546,0.3375428922362374,True
GSK2110183,10,0.3392093460832995,0.3376257384558134,False
"MK-8776, SCH900776",10,-0.33883709288310804,0.3381902975761746,True
"AICAR, N1-(B-D-RIBOFURANOSYL)-5-AMINOIMIDAZOLE-4-CARBOXAMIDE",12,0.30209935530272125,0.3399055436650689,False
YK-4-279,10,0.2454760573584493,0.3422791171974776,False
IRINOTECAN,10,-0.33536797664869994,0.3434747428698895,True
SB-590885,12,0.2985120567481419,0.3459545282695105,False
VENETOCLAX,10,-0.3331839359861879,0.346823072449963,True
GSK1904529A,11,-0.21382650777259232,0.3520075119621456,True
KU-55933,12,0.2948882317747359,0.352123137656955,False
AZ960,7,0.41503699339702693,0.3544941397138847,False
AGI-5198,10,-0.3262640410247567,0.35754048917681086,True
AZD4547,10,-0.32599010010071977,0.35796814503549734,True
BDP-00009066,10,0.3241821869171973,0.3607969486334761,False
GALLIBISCOQUINAZOLE,7,0.4033937859854444,0.36950910229101025,False
PLX-4720,12,0.16112053212392333,0.3703857818453026,False
LIMK1 INHIBITOR BMS4,13,0.2703448480858897,0.371681849787907,False
IPA-3,11,0.2989837958961527,0.37178589430352743,False
LJI308,10,0.31604072678835154,0.37367324532123597,False
ZIBOTENTAN,12,-0.28165936376419065,0.3751320016261075,True
ENTINOSTAT,7,0.3347570054582171,0.37855554545365044,False
VX-11E,12,-0.19718498332633078,0.3790901501286185,True
VE-821,10,-0.311871973421835,0.38035285594517776,True
AZD5582,7,0.3899221017374852,0.38719966811964535,False
GENENTECH CPD 10,12,-0.2728371909069767,0.39089823257173306,True
VELIPARIB,12,0.2711433432334559,0.3939634310239899,False
KIN001-270,12,-0.2658170540791319,0.4036810994206585,True
TAMOXIFEN,11,-0.19139061784225056,0.4059281969270069,True
SL 0101-1,12,0.26420849373185346,0.40663936071502865,False
ZG-10,7,0.37301123313906,0.40987506903589416,False
GSK650394,11,0.2760708440643684,0.4112225070270737,False
AZD3759,10,-0.2917405955724514,0.4134171652653566,True
VISMODEGIB,12,0.2602883036503251,0.4138941756137584,False
JNK INHIBITOR VIII,12,0.25935117992368373,0.41563791296175817,False
CP466722,12,0.25865439242109534,0.41693680770410707,False
EHT 1864,12,0.25706109697868984,0.41991444245041254,False
"KRAS (G12C) INHIBITOR-12, GTPL8020",7,0.36466883693556806,0.42124804695098156,False
BICALUTAMIDE,13,-0.18053312602474758,0.42140505128558725,True
VOXTALISIB,13,-0.24360027330005374,0.4225493231553861,True
"GNE-317, GNE317, GNE 317",10,0.28567883835186164,0.42363008145160225,False
IOX2,11,-0.2646115595260969,0.43167797444375267,True
CUDC-101,11,0.2619779872538828,0.4364462492094923,False
"IWP-2, WNT INHIBITOR IWP-2",7,-0.34856636398148483,0.44353843306767354,True
EX-527,11,-0.2537246146737566,0.451549428078219,True
PEMETREXED,13,0.2277909384584158,0.454169780596935,False
XAV-939,12,-0.18246342430459006,0.45466781327099404,True
ZSTK-474,12,-0.23873000160532623,0.45491565673360784,True
CYCLOPHOSPHAMIDE,10,-0.2663901800246347,0.456893098372263,True
EMBELIN,11,-0.24596572738970135,0.46596530301247474,True
ACY-1215,13,-0.22161816978745524,0.4668171144711737,True
KIN001-206,11,0.24261863813327733,0.47224813314075426,False
PD-173074,12,-0.1606527593378892,0.4751016371751284,True
DABRAFENIB,12,0.16045682178317833,0.47564748092579195,False
NSC-319726,10,-0.2554748605713937,0.47621734197499616,True
"ARA-G, 9-??-D-ARABINOFURANOSYL GUANINE",13,-0.21584064935350195,0.47880401171765785,True
"ACETALAX, OXYPHENISATIN ACETATE",7,-0.3233642943978298,0.4792846473412805,True
QL-X-138,12,0.22437689858385115,0.4832487053597272,False
ALPELISIB,10,0.2510946012556166,0.48407079426696437,False
"WHI-P97, KIN001-055",12,0.22355702927954718,0.4848909761320749,False
"FTY-720, FINGOLIMOD HYDROCHLORIDE; GILENYA; TDI-132; IMUSERA; GILENIA",13,0.21138531274558686,0.48814477308171345,False
MOTESANIB,12,0.22108993088001275,0.4898480681656981,False
YM-155,12,0.1632529125660801,0.4916321079258725,False
PIK-93,12,0.2192431503666041,0.4935736955205169,False
VNLG/124,11,-0.23049833532494307,0.49531497663801255,True
TRICHOSTATIN-A,13,0.2071605120542984,0.49707912252905734,False
RUXOLITINIB,12,-0.16544316999998396,0.4984820272439943,True
BAY-61-3606,11,0.22667782931566216,0.5026866446857476,False
PHENFORMIN,11,0.2180962781285063,0.5194161604019432,False
VINCRISTINE,7,0.2919835905031508,0.5251699798145743,False
TL-1-85,12,-0.20170229930776595,0.5295822912690215,True
ENZASTAURIN,12,-0.19984026554649853,0.5334692795996132,True
FTI-277,11,-0.20894658603088961,0.5375083142339828,True
CRIZOTINIB,7,0.2373887498555637,0.5385342091046582,False
CHIR-99021,12,-0.13732400131619177,0.5422545658888789,True
NSC-87877,11,0.2038943886742666,0.5476080906319784,False
PYRIDOSTATIN,10,0.2166168403609098,0.5477660393575033,False
JW-7-24-1,12,0.19283771430212412,0.5481944353305312,False
AT-7519,12,0.19211505334238513,0.5497236033039336,False
ERLOTINIB,10,-0.18979010354079728,0.5546551974155874,True
"SCH772984, CS-1421",10,-0.2122748744823295,0.5560130314666818,True
C-75,13,0.17953696944719402,0.5572663440670593,False
KU-57788,12,0.1882581904235172,0.5579145311802209,False
SINULARIN,7,-0.26931031184719356,0.5592023925681608,True
GSK690693,12,0.18718874266388147,0.5601945424868118,False
TASELISIB,10,0.2097496284802962,0.560831483646579,False
GSK2126458,12,0.18505951649197808,0.5647452099562289,False
TORIN-2,12,0.17860397323030164,0.5786326285289491,False
LFM-A13,11,-0.1883709102692081,0.5791115878174539,True
FR-180204,12,0.17558563996794463,0.5851716334452032,False
JQ1,12,0.1226717578571753,0.5865401779797008,False
PAZOPANIB,11,-0.18281103678743757,0.5905615682547766,True
BRIVANIB,13,-0.16272480545984608,0.5953095415732175,True
LINIFANIB,12,-0.17034237693407803,0.5965987135188009,True
"KIN001-260, BAYER IKKB INHIBITOR",12,-0.16957641683478736,0.598275150250757,True
BIX02189,12,-0.16809974591496693,0.6015121599245272,True
KB NB 142-70,13,0.15736835490870976,0.6076389024415784,False
AZD6482,13,-0.11178105210561179,0.6116049217821594,True
BMS-345541,12,0.12225485091442861,0.6180640547630049,False
T0901317,12,0.16017168731670448,0.6190032616834624,False
"APITOLISIB, GDC0980",13,0.1522766556214935,0.6194481693076117,False
PI-103,12,0.1594602872076409,0.6205818484779119,False
RTRAIL,12,0.15753618963193255,0.6248587459632987,False
CZC24832,7,-0.22518864346737544,0.6273267062037349,True
BIBR-1532,10,0.17477628787666336,0.6291431080800536,False
PD-0325901,12,0.10860240168939336,0.6304571985635786,False
BX-912,12,0.15472974083475174,0.6311160021857348,False
TENOVIN-6,13,0.1467126638665524,0.6324495566616994,False
WZ3105,12,0.15281376580426792,0.6354006945377584,False
TAK-715,12,0.1508140810111256,0.6398835575912171,False
AS601245,11,0.1583571636105115,0.641896832378247,False
EPZ004777,10,-0.16456827457796486,0.6495990849547979,True
"AMG-319, AMG319",10,0.16424708175558606,0.6502462460281487,False
BMS-536924,11,0.09939419638898851,0.6518343298710956,False
HG-5-88-01,7,0.20749635966079935,0.6552771729330112,False
TRAMETINIB,12,0.10067425315917902,0.6557589652070295,False
TIVOZANIB,12,-0.14254352141755905,0.6585406502646132,True
TW-37,12,0.14247621689662085,0.6586932315197589,False
"CAP-232, TT-232, TLN-232",13,-0.13502596951315848,0.6600731283976411,True
YM-201636,12,-0.13941828034464063,0.6656381865067071,True
QS11,11,-0.1465932026052399,0.6671202444518531,True
AST-1306,13,-0.13144931007018612,0.6686090404362246,True
NVP-BHG712,12,-0.1366133311970671,0.6720298652156724,True
GSK1070916,12,0.13387328842194932,0.678292952594789,False
NELARABINE,7,0.1898517531544942,0.6834745962369907,False
TPCA-1,12,0.13139409005438174,0.6839759721825771,False
BRYOSTATIN 1,11,-0.1364558871778341,0.6891079068956804,True
FH535,11,0.13383751945707603,0.6948231198244287,False
CARMUSTINE,7,-0.18035087247561837,0.6987818214163285,True
FORETINIB,12,0.0862114669364416,0.7028505211283121,False
EPZ-5676,10,0.13660219191822964,0.7066965315465835,False
EPIRUBICIN,10,0.13614337613279787,0.7076452291931382,False
SGC0946,12,-0.12050912767535979,0.7091025063304083,True
MN-64,7,-0.1725672627623932,0.7113832458017905,True
UNC1215,12,-0.11890136137851097,0.7128371611300904,True
SU-11274,13,0.1106858268649874,0.7188616557448975,False
QL-VIII-58,7,0.16597009182108302,0.7221050182166228,False
NUTLIN-3A (-),12,0.07848876780208622,0.7284471849842303,False
IC-87114,13,-0.10365248015815026,0.7361342795993253,True
XMD8-92,7,-0.15398728266441045,0.7416713845556674,True
"PICOLINICI-ACID, PICOLINATE",7,0.15248057877395,0.7441396844812433,False
OBATOCLAX,11,0.0822545088304184,0.7455797865402224,False
"WEHI-539, WEHI539",10,-0.11641357032137564,0.7487684542373662,True
I-BET-762,11,0.08092569535823642,0.7495643158544847,False
JNJ-38877605,13,-0.09782993969803871,0.7505206588860827,True
GDC-0810,10,-0.1148867755687961,0.7519760887282917,True
VX-702,12,0.10107193770865744,0.7546251851911387,False
BAM7,13,-0.09307790742317754,0.7623175369392846,True
WYE-125132,13,0.09177635926539762,0.7655569955677729,False
AT7867,13,-0.09150128802811262,0.7662420792506861,True
AZD8931,10,0.10664409322841106,0.7693511204079589,False
AGI-6780,13,-0.06843372977847095,0.7743613067708532,True
MASITINIB,12,0.09061976657982264,0.7794142310231742,False
