BiomarkerCluster_HGNC,TargetGene_HGNC,ClusterRepresentative
"SELENOT, RAP2B",TIMM17A,RAP2B
RSF1,TIMM17A,RSF1
RSF1,TOE1,RSF1
PEPD,PARD6B,PEPD
PEPD,PAX8,PEPD
"PIK3CA, MFN1, FXR1, ACTL6A",MIOS,PIK3CA
PLSCR1,TIMM17A,PLSCR1
XRN1,MIOS,XRN1
ESRP1,KRAS,ESRP1
ESRP1,METAP1,ESRP1
CHCHD3,YTHDC1,CHCHD3
PPP1R2,ACTR3,PPP1R2
PPP1R2,MIOS,PPP1R2
GPATCH1,ARID2,GPATCH1
GPATCH1,PARD6B,GPATCH1
GPATCH1,PAX8,GPATCH1
"SAMD4B, MED29",FZR1,MED29
CCDC91,SNAP23,CCDC91
ETNK1,SNAP23,ETNK1
RBM38,ARID2,RBM38
CHD7,CDK4,CHD7
CHD7,KRAS,CHD7
CHD7,METAP1,CHD7
CHD7,SCD,CHD7
ITFG2,TOE1,ITFG2
"CCNL1, PTX3, GMPS, SLC33A1",MIOS,CCNL1
RASA2,MIOS,RASA2
RASA2,SNAP23,RASA2
EXOC4,YTHDC1,EXOC4
"BDH1, FYTTD1, LRCH3",MIOS,BDH1
BICD1,SNAP23,BICD1
SDHA,ZDHHC11,SDHA
GOLPH3,PAX8,GOLPH3
GOLPH3,UBE2H,GOLPH3
TFB2M,ARPC2,TFB2M
TFB2M,ATXN7L3,TFB2M
TFB2M,FBXW11,TFB2M
TFB2M,XPR1,TFB2M
NOM1,DNM1L,NOM1
NOM1,TMED2,NOM1
NOM1,YTHDC1,NOM1
SMYD3,ARPC2,SMYD3
SMYD3,ATXN7L3,SMYD3
SMYD3,FBXW11,SMYD3
SMYD3,MAEA,SMYD3
SMYD3,SOX17,SMYD3
SMYD3,VPS4B,SMYD3
FNDC3B,MIOS,FNDC3B
ST6GAL1,MIOS,ST6GAL1
ST3GAL1,E2F3,ST3GAL1
WNK1,RPL28,WNK1
SUPT5H,FZR1,SUPT5H
UBE2H,YTHDC1,UBE2H
UVRAG,APC,UVRAG
UVRAG,MPHOSPH6,UVRAG
UVRAG,RICTOR,UVRAG
UVRAG,TOMM20,UVRAG
UVRAG,ZNF780B,UVRAG
PPFIBP1,PFDN1,PPFIBP1
PPFIBP1,SNAP23,PPFIBP1
RHPN2,PAX8,RHPN2
GFM1,LIN54,GFM1
"URI1, CCNE1",CCNE1,CCNE1
TNFSF10,MIOS,TNFSF10
TIMM50,FZR1,TIMM50
PDIA4,TMED2,PDIA4
GAB2,PAX8,GAB2
GAB2,TIMM17A,GAB2
GAB2,TOE1,GAB2
