Gene,T-statistic (Amplification vs Neutral),P-value (Amplification vs Neutral),Cohen's d (Amplification vs Neutral),T-statistic (Deletion vs Neutral),P-value (Deletion vs Neutral),Cohen's d (Deletion vs Neutral)
10653,4.4202315635141725,0.0011716972689428528,2.2117530070583657,,,
10654,3.0520085186266055,0.02523116548360313,1.1818853362963062,,,
10656,2.4902659911797285,0.01659908876824691,0.6508212971497734,,,
10667,4.638217010333244,0.00017078045300647718,1.3415254255434732,,,
10671,,,,-2.27263612158483,0.0473504663678154,-0.9997586549639541
10682,3.2501756757190075,0.0251125614513737,1.8062778448252073,,,
10714,2.1510622146675162,0.07133005884605748,1.291877153535194,,,
10723,2.737448362956573,0.023608567941300587,1.5739458266620847,,,
1075,0.6179169028974726,0.5844052214255948,0.22459340974595468,,,
10755,2.6248084891706487,0.023277404062467203,1.1748477554760912,,,
10762,,,,-2.280401969042126,0.05280920137077299,-1.2857711350802108
10771,,,,,,
10775,0.498967852845487,0.6219514983607661,0.1424687644920003,,,
10799,0.8255816369974794,0.4203834895713602,0.2728723210435434,,,
10809,1.7728243798771217,0.11164312112238425,1.0720702297271303,,,
10863,,,,-1.8169868646836074,0.09512705886657238,-0.8891689191334726
10867,1.727881323447516,0.11865427808875598,0.8106828693706066,,,
10873,0.7572184940582826,0.47405152001869444,0.284473596998789,,,
10923,3.2974611144436627,0.015093324308339765,2.2768544520784544,,,
10946,1.134481518946288,0.2739604007113009,0.4303612339858566,,,
10969,-1.2215756895902385,0.24698026277008803,-0.38782727224773184,,,
11000,2.5879436230483055,0.019704683235993104,0.717972496611083,,,
11018,2.4605955249141944,0.04507773760330312,1.1216736327035355,,,
11022,0.7444264572050271,0.48841918603895706,0.572453053709752,,,
11030,,,,-5.690463156462118,1.525405790830237e-05,-1.5820905115989052
11047,3.4764142199371055,0.003148750511975781,1.1918497191752366,,,
11054,5.52566150732213,7.03485337856246e-05,1.9247701672200848,,,
11076,0.1506538966745481,0.8829344944993119,0.055665508536089064,,,
1108,-1.3724174072609294,0.19381200309227897,-0.43222158294746027,,,
11083,1.713728929125795,0.12515827841062865,0.9844530744891232,,,
11098,0.3062297425044465,0.7680154354721894,0.09107809547977586,,,
11128,-0.04997606767038191,0.9608843699052154,-0.01605863895194178,,,
11140,4.166709497215859,0.0011685065606628318,1.554480800822368,,,
11152,1.854324773538113,0.14470099938124395,1.3117318881539757,,,
11156,1.637164120893328,0.10880752177380358,0.4545906338088671,,,
11184,1.180375037022147,0.28599250745619187,0.4990582634911,,,
11194,4.259474017955074,0.00029080679585805834,1.2200065995838532,,,
1120,,,,-2.20136038983293,0.042654799587886684,-0.9358705512572356
1122,,,,,,
11230,1.3865914129932526,0.21653897238743794,0.6278156785353772,,,
11235,1.5542281664258564,0.12736545051540082,0.4549405851575736,,,
11236,0.13950343333674722,0.8905363298986889,0.04910898409055518,,,
11244,2.7096296789312446,0.011055446886952406,0.7676783660611199,,,
112939,2.785055788309254,0.01479756718320802,1.1252550798489338,,,
112950,-0.8390783694985772,0.42471862882883793,-0.39866956692725763,,,
11311,1.665933166668175,0.14239280540425084,1.0282361371561275,,,
