Biomarker_AMP,Biomarker_AMP_HGNC,BiomarkerCluster,BiomarkerCluster_HGNC,TargetGene_AMP,TargetGene_AMP_HGNC,OncogeneAddiction,Beta,T-stat,P-value,EffectSize,CI_Lower,CI_Upper,n_Lines,MeanCNA,MeanEffect,PredictedEffect_CNA2,MeanEffect_CNA6plus,DeltaEffect_CNA6minusPred2,FDR,Pair,Biomarker_Unified,Biomarker_Unified_HGNC,TargetGene_Unified,TargetGene_Unified_HGNC,CNA_P_one,CNA_Q,CNA_EffectSize,CNA_Delta,Expr_P_one,Expr_EffectSize,Expr_Delta,Validated
126526,PLD3,"126526, 23646","C19orf47, PLD3",55173,MRPS10,FALSE,-0.02564603687,-6.235568692,4.50E-10,-0.1054203981,-0.03370709932,-0.01758497443,17,4.84833942,-0.4804062037,-0.407357586,-0.7241164199,-0.316758834,8.47E-07,23646_55173,23646,PLD3,55173,MRPS10,8.92E-07,0.0008121745292,-0.1027390919,-0.3348087156,0.04659899053,-0.549122423,-0.3430726221,TRUE
126526,PLD3,"126526, 23646","C19orf47, PLD3",51371,POMP,FALSE,-0.03480044116,-7.450647166,9.29E-14,-0.1261792867,-0.04395502999,-0.02564585233,17,4.84833942,-0.8286570208,-0.7295335524,-1.177531522,-0.4479979692,3.84E-10,23646_51371,23646,PLD3,51371,POMP,4.04E-06,0.002950809317,-0.1270884249,-0.4018737532,0.01440951771,-0.7190608242,-0.4182716701,TRUE
126526,PLD3,"126526, 23646","C19orf47, PLD3",3842,TNPO1,FALSE,-0.02743245101,-4.992719088,5.95E-07,-0.0998255588,-0.03820145585,-0.01666344618,17,4.84833942,-0.4900546649,-0.4119177333,-0.7194690133,-0.30755128,0.0003855908449,23646_3842,23646,PLD3,3842,TNPO1,9.95E-11,2.42E-07,-0.1033390729,-0.3311429389,7.24E-05,-0.6439412389,-0.355482332,TRUE
126526,PLD3,"126526, 23646","C19orf47, PLD3",5756,TWF1,FALSE,-0.03059838364,-9.37564985,6.88E-21,-0.137502428,-0.03699492477,-0.02420184251,17,4.84833942,-0.2759920287,-0.1888374464,-0.5536809791,-0.3648435327,8.34E-17,23646_5756,23646,PLD3,5756,TWF1,3.40E-09,6.23E-06,-0.1315122096,-0.3494500387,0.01763832577,-0.7363773513,-0.3633978536,TRUE
126526,PLD3,"126526, 23646","C19orf47, PLD3",284459,ZNF875,FALSE,-0.03802828068,-8.93917469,3.92E-19,-0.1443765774,-0.04636619364,-0.02969036772,17,4.84833942,0.08974411405,0.198061565,-0.2566693506,-0.4547309155,3.93E-15,23646_284459,23646,PLD3,284459,ZNF875,4.46E-17,2.87E-13,-0.1387877782,-0.4314255694,0.04804166722,-0.7350784204,-0.4416659492,TRUE
5359,PLSCR1,5359,PLSCR1,4605,MYBL2,FALSE,-0.1157274405,-4.813463512,1.48E-06,-0.4594082162,-0.1628497703,-0.06860511063,17,4.117647059,-0.4623875345,-0.2173176605,-0.7140389729,-0.4967213123,0.000815811142,5359_4605,5359,PLSCR1,4605,MYBL2,1.73E-05,0.009266348093,-0.4501057291,-0.5121791422,0.000206088606,-0.9283903327,-0.4169035594,TRUE
8496,PPFIBP1,8496,PPFIBP1,5201,PFDN1,FALSE,-0.1668850045,-5.715452474,1.09E-08,-0.4216577917,-0.2241138241,-0.1096561849,17,3.608325498,-0.577161654,-0.308756246,-1.102074371,-0.7933181249,1.35E-05,8496_5201,8496,PPFIBP1,5201,PFDN1,1.18E-06,0.001023488506,-0.4135244753,-0.8561500489,0.006874875074,-0.4088389468,-0.8007866003,TRUE
8496,PPFIBP1,8496,PPFIBP1,8773,SNAP23,FALSE,-0.2383123669,-5.286104653,1.25E-07,-0.4011479291,-0.3266730194,-0.1499517144,17,3.608325498,-0.6531398242,-0.2698559679,-1.424878347,-1.155022379,0.0001080345977,8496_8773,8496,PPFIBP1,8773,SNAP23,4.64E-07,0.0004789576767,-0.4353884981,-1.461996785,0.0082455279,-0.3883962103,-1.336868988,TRUE
5747,PTK2,5747,PTK2,102157402,AK6,FALSE,-0.1235115727,-3.878828508,0.0001049607142,-0.2787822863,-0.1859217137,-0.06110143166,17,4.941176471,-1.059285764,-0.6960164323,-1.351192468,-0.6551760359,0.02177627831,5747_102157402,5747,PTK2,102157402,AK6,0.0001470257867,0.04831839562,-0.2818201536,-0.6423435964,0.007055540772,-0.3977831532,-0.651911371,TRUE
23513,SCRIB,"22827, 23513, 286077, 340371, 5339, 83481","PUF60, SCRIB, FAM83H, NRBP2, PLEC, EPPK1",8602,NOP14,FALSE,-0.08191736015,-4.416486159,1.00E-05,-0.3111446682,-0.1182709385,-0.0455637818,17,4.842440122,-1.121222634,-0.8883774432,-1.36722478,-0.4788473367,0.003851499599,23513_8602,23513,SCRIB,8602,NOP14,1.30E-05,0.007209930354,-0.3249485898,-0.4705385702,0.02843611484,-0.5789144766,-0.4408295687,TRUE
