Gene,Gene_HGNC,Sample,CNA,Protein
10013,HDAC6,TCGA-30-1891-01,-1,0.0533
10013,HDAC6,TCGA-36-1569-01,-1,-0.2834
10013,HDAC6,TCGA-36-1570-01,-1,0.013
10013,HDAC6,TCGA-36-1571-01,0,-0.0213
10013,HDAC6,TCGA-36-1577-01,-1,-0.0389
10013,HDAC6,TCGA-36-1578-01,1,0.2243
10013,HDAC6,TCGA-36-1580-01,-1,-0.2848
10013,HDAC6,TCGA-36-2530-01,-1,-0.019
10013,HDAC6,TCGA-36-2532-01,-1,-0.0887
10013,HDAC6,TCGA-36-2534-01,-1,-0.026
10013,HDAC6,TCGA-36-2537-01,-1,0.2785
10013,HDAC6,TCGA-36-2542-01,-1,-0.1908
10013,HDAC6,TCGA-36-2544-01,-1,-0.1134
10013,HDAC6,TCGA-36-2545-01,-1,-0.2146
10013,HDAC6,TCGA-36-2547-01,1,0.1912
10013,HDAC6,TCGA-36-2549-01,-1,-0.1781
10013,HDAC6,TCGA-59-2348-01,1,0.0228
10013,HDAC6,TCGA-59-2351-01,0,0.1469
10013,HDAC6,TCGA-59-2352-01,1,-0.0338
10013,HDAC6,TCGA-59-2372-01,1,0.1769
10013,HDAC6,TCGA-61-1724-01,0,-0.0872
10013,HDAC6,TCGA-61-1727-01,-1,0.0187
10013,HDAC6,TCGA-61-1741-01,-1,-0.0799
10013,HDAC6,TCGA-61-1907-01,0,-0.2094
10013,HDAC6,TCGA-61-1910-01,0,0.1323
10013,HDAC6,TCGA-61-1911-01,1,0.0363
10013,HDAC6,TCGA-61-1914-01,0,-0.4064
10013,HDAC6,TCGA-61-1915-01,-1,-0.0048
10013,HDAC6,TCGA-61-1918-01,-1,-0.2063
10013,HDAC6,TCGA-61-1995-01,2,-0.1638
10013,HDAC6,TCGA-61-2008-01,-1,0.0489
10013,HDAC6,TCGA-61-2087-01,-1,0.1053
10013,HDAC6,TCGA-61-2088-01,-1,-0.2893
10013,HDAC6,TCGA-61-2094-01,0,-0.0928
10013,HDAC6,TCGA-61-2613-01,0,0.1227
10016,PDCD6,TCGA-09-1664-01,0,0.0729
10016,PDCD6,TCGA-13-1404-01,1,0.3889
10016,PDCD6,TCGA-13-1409-01,1,0.3007
10016,PDCD6,TCGA-13-1410-01,0,-0.3862
10016,PDCD6,TCGA-13-1482-01,0,-0.1617
10016,PDCD6,TCGA-13-1483-01,0,0.0071
10016,PDCD6,TCGA-13-1485-01,0,-0.359
10016,PDCD6,TCGA-13-1487-01,0,-0.2366
10016,PDCD6,TCGA-13-1488-01,1,-0.0799
10016,PDCD6,TCGA-13-1489-01,1,-0.0788
10016,PDCD6,TCGA-13-1492-01,1,0.4075
10016,PDCD6,TCGA-13-1494-01,0,-0.1115
10016,PDCD6,TCGA-13-1497-01,1,-0.5816
10016,PDCD6,TCGA-13-1500-01,0,-0.2726
10016,PDCD6,TCGA-13-1501-01,1,0.1352
10016,PDCD6,TCGA-13-1504-01,1,0.0845
10016,PDCD6,TCGA-13-1507-01,1,-0.0265
10016,PDCD6,TCGA-13-1511-01,0,0.0894
10016,PDCD6,TCGA-13-2059-01,-1,-0.3193
10016,PDCD6,TCGA-13-2060-01,1,0.211
10016,PDCD6,TCGA-13-2061-01,1,-0.1755
10016,PDCD6,TCGA-13-2065-01,2,0.3358
10016,PDCD6,TCGA-23-1121-01,2,0.0702
10016,PDCD6,TCGA-23-1122-01,1,0.1502
10016,PDCD6,TCGA-24-1103-01,2,0.59
10016,PDCD6,TCGA-24-1416-01,0,0.1922
10016,PDCD6,TCGA-24-1422-01,0,-0.075
10016,PDCD6,TCGA-24-1430-01,0,-0.0244
