Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
FOXP4,116113,0.291254561251086,3.279456030389848e-05,88,0.18267159818525336
COX20,116228,0.19711096311475423,9.183472795404717e-06,117,0.15786451020798997
ARAP1,116985,0.1065512784701332,0.0004562896601850556,119,0.10008688371687724
AGAP3,116988,0.1769307545655228,8.183570628208436e-08,113,0.22915085925731693
THEM4,117145,0.2130086528497409,0.013376016040234747,102,0.059639509246944056
CLK2,1196,0.17845666666666665,0.014603262006638477,81,0.07315251598041972
CLNS1A,1207,0.11033090888066605,0.0022311425784043294,117,0.07840272203884946
FGD4,121512,0.16909404802164354,0.00011378575274517474,119,0.11999676940590953
RAVER1,125950,0.13428794759825327,3.9112269388464105e-16,119,0.43380125393132196
NR2C2AP,126382,0.19311323932628288,5.0638307826415595e-05,108,0.14415586573162908
HSPB6,126393,0.15250084692597238,0.02963963047967299,109,0.043440769820836
C19orf47,126526,0.2220810400866738,1.247258971922223e-07,62,0.3746951615475962
C1orf122,127687,0.17335888787602544,0.0005982684745328073,81,0.13934882153411876
OSCP1,127700,0.13093717472118957,0.03978814992098404,74,0.05740063750158597
TAF8,129685,0.10787120910384072,0.012427934008132425,68,0.09098397350769971
NADK2,133686,0.237774791929382,2.565640796392036e-09,119,0.2625715052644715
CCDC127,133957,0.2014032132768362,3.883971458087973e-06,119,0.1672331535458248
CMBL,134147,0.22535177098495862,0.005396957185262626,119,0.0642878799896538
DNAJC21,134218,0.17848903757076684,8.646807659735368e-06,102,0.1803417311135087
VPS37A,137492,0.16035211200759375,2.374997693630414e-07,114,0.21293697039578818
NDUFAF6,137682,0.18252721207865163,0.001148453317677059,105,0.09799111174116681
TMEM68,137695,0.18347292370020252,2.6302308597630416e-06,111,0.18403424890800535
S100A16,140576,0.1541676069435834,0.019899788125931014,119,0.04546226604733972
PARP1,142,0.1832228121664888,1.4364913848664633e-07,119,0.21141467857680396
SPC24,147841,0.129420964381387,0.0018282763707160032,104,0.09126673360668347
C1orf210,149466,0.3971779411764707,6.98489581524079e-05,64,0.22670926389829493
LSM14B,149986,0.19574078386356178,1.391947154108902e-06,117,0.184051908393717
CTPS1,1503,0.2611182417168676,6.159633527584713e-12,119,0.3335286609925523
CTSB,1508,0.21334609327680204,2.9492163210492377e-05,119,0.13910124124723
CCDC50,152137,0.09207093600588452,9.27046257777667e-07,119,0.1866765694086574
CYC1,1537,0.22938473265073944,5.5827959134055564e-05,119,0.13010585116277962
MBOAT1,154141,0.18198970588235297,0.0002133136774361331,116,0.11377691975221349
CCDC167,154467,0.07734642262895172,0.04256811413191718,52,0.07971344739354458
RBM33,155435,0.07278967444596982,0.0006491653169841237,119,0.09499872808434007
TMEM65,157378,0.20406531978757794,1.3337267718037318e-06,119,0.18177548204843064
FAM91A1,157769,0.16233330429100407,6.88673503367181e-09,119,0.2503077375977577
CNST,163882,0.14744255199550305,0.00021696451969051357,79,0.16370854580514804
DHX36,170506,0.2092261377427185,3.879288691457861e-16,119,0.4338797629179135
ZNF384,171017,0.10733213929355412,1.0862559892152529e-06,119,0.18454399918087872
DHPS,1725,0.2631289052469401,5.704038468018873e-11,116,0.3148304571304371
DMD,1756,0.10502945602901183,0.036834025993813066,111,0.039369551060828845
DNASE2,1777,0.20139732263513513,6.854441434228535e-09,119,0.2503665554513643
DNM2,1785,0.13789373483009706,1.3156008909878441e-15,119,0.42206866756566397
DNMT1,1786,0.2371058411563105,5.350962287504965e-12,119,0.3351046079739335
DPH2,1802,0.15700148148148158,0.003262537430795402,92,0.09216489251354643
DPYSL2,1808,0.20327478608100402,3.0568478738156786e-05,119,0.1385976630177146
DSP,1832,0.1606440870758971,9.965951580747536e-05,119,0.1218842284264472
DVL3,1857,0.07879285523504277,0.0047326688695352925,113,0.06965908910938656
E2F3,1871,0.2034238129496403,0.0010488619821044636,64,0.160203537254188
ECH1,1891,0.2363404352806415,1.8269434128319872e-08,119,0.2380079905741469
ECT2,1894,0.25450091833387994,1.4670301469299528e-05,113,0.15628580238600842
AGO3,192669,0.08569653747244672,0.00017387435693756473,119,0.11394331554767023
EEF1D,1936,0.13190954258675075,1.3519845143412917e-08,119,0.24182290018360697
EHHADH,1962,0.1554901815181518,0.0007582758344169992,119,0.09275305631740816
DCP1B,196513,0.18225665541807282,2.691417700089141e-06,114,0.17923284478385904
EIF4A2,1974,0.14076193009118537,2.669068404550366e-09,119,0.2620841880214284
EIF4G1,1981,0.18101112324114507,1.813645622737108e-14,119,0.3958773901121586
SERPINB1,1992,0.11080999265246148,0.005916941506617948,119,0.06295408852834183
IBA57,200205,0.1333938826122899,9.455960994595396e-05,119,0.1226314983852218
CTTN,2017,0.16040338420703384,3.749308161863573e-07,119,0.19876809205541368
ENO2,2026,0.1226248852524446,0.013196194439581928,119,0.05135899364734975
ENSA,2029,0.13070457924974657,1.7742186094461896e-05,119,0.14621823668364964
ADCK5,203054,0.1519012976140644,0.0011464536294475802,104,0.09893564610063166
EPHB3,2049,0.1489937809099902,0.004375224446049393,119,0.0673328583417826
EPHX2,2053,0.3539676694915254,4.069546800135233e-08,119,0.22777582224238602
NR2F6,2063,0.26373123129115944,3.858281463558286e-07,119,0.19838775254297047
AKT2,208,0.2651595687550854,1.040924185363299e-18,119,0.4878767790628694
MECOM,2122,0.20724707621550592,0.0002705308148241857,119,0.10760787277946238
