Gene,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
51290,0.2051298311727465,3.749708250899482e-07,119,0.1987666758262454
51295,0.2791177647058823,1.8042363599082303e-08,100,0.277489553606512
5130,0.2241705204707442,2.0129875842278985e-15,119,0.4178990082470711
51319,0.0823099375738147,0.0097581634110119,104,0.0636778156405514
51337,0.3123317834533944,1.4187357943166911e-09,119,0.2698412051163377
51400,0.1405788756810302,3.4471143354178536e-08,119,0.2299066015431944
51406,0.0868434884238646,0.0381195674850783,119,0.0362335531988197
51422,0.0762948875997099,0.0250073249503437,81,0.0619843228793652
51435,0.1988383062254627,0.0030951145497725,85,0.1006288194264855
51439,0.1177385361276196,0.0023988416287603,66,0.1350802479049633
5144,0.129383893129771,0.0159213693809097,78,0.074081488641119
51473,0.2041473067915691,0.0006008048408125,115,0.099358584337269
51477,0.2225183800623052,7.288084856548423e-05,119,0.1263301555194235
51522,0.273601625526791,2.857377235105364e-11,119,0.3161141602622546
51530,0.058101850843767,0.0440044131529674,119,0.0342188904856197
51585,0.0955195384947163,0.0004951718335157,119,0.098907720936597
51599,0.1842628900949796,1.702970963626887e-08,119,0.2388999347721063
51663,0.0476574823943662,0.0293255041872637,119,0.0399384207588867
51667,0.1849034582893346,8.723435581184747e-10,119,0.2757594014689929
51714,0.1670238265002971,1.5115329057612398e-05,116,0.1520623876300446
51726,0.1873769789803219,1.0288117221529228e-10,119,0.3012460113678403
51741,0.1708015120967742,0.0001453349065915,104,0.1325299140363693
51742,0.096200140593047,3.1569725019922683e-06,119,0.1700688648096456
51773,0.150115322580645,1.9100189934918743e-08,119,0.2374430564497902
5184,0.1327816500415627,6.3570077623651535e-09,119,0.2513087526837906
5214,0.1484202909647779,0.0043535830567255,119,0.067404822910183
526,0.1253382829541913,5.455981335292036e-05,119,0.1304308267398539
5269,0.1315762031594416,0.0034969029212732,119,0.0705856507387856
528,0.1862009881422924,1.2780671253276941e-08,119,0.2425334182980469
5290,0.1182794051310967,1.8969730779738669e-06,115,0.1826852699445269
5291,0.1260346483129091,0.0006169423028634,114,0.0998052383273193
5296,0.1234483542857143,1.9586328741104554e-05,117,0.147170283734815
5298,0.1686497723292468,1.1017419910487916e-08,119,0.2444065882893329
5300,0.2164047813996602,1.000395298031198e-26,119,0.6256965903413436
5339,0.2598543799772468,5.913002069470605e-11,119,0.3077108279623728
5359,0.1946733015160022,0.0171340139887325,119,0.0476058760986131
54108,0.1258659391029138,0.0015348641467862,116,0.0846252120094075
54165,0.2164897377285851,1.2967930398238042e-16,119,0.4442766403248477
5437,0.1893327268316351,7.779605207312167e-13,119,0.3563418154632556
5438,0.0672366798490023,0.0053916757818668,119,0.0643020794765388
54464,0.1097886250690226,3.842915561866389e-08,119,0.2285119484504377
54477,0.249276644245142,8.228963262226723e-11,119,0.3038597058078636
54545,0.2336071302816901,3.2775145563336394e-11,119,0.3145364566917259
