Gene,T-statistic (Amplification vs Neutral),P-value (Amplification vs Neutral),Cohen's d (Amplification vs Neutral),T-statistic (Deletion vs Neutral),P-value (Deletion vs Neutral),Cohen's d (Deletion vs Neutral)
192669,3.2791852763067504,0.005535571813893,1.4512323046900444,,,
1936,5.842947425080244,1.2805450236080636e-06,1.6912072210770626,,,
1962,3.396932721747352,0.0016729657720879,1.032601120766279,,,
196513,3.6319579250507807,0.0098008758504476,1.6872050377614047,,,
197,-0.7401677168622322,0.4634927752890851,-0.2162458136285037,,,
1974,4.990259713225968,3.372174194754219e-05,1.6343071796520627,,,
1981,7.82852944068538,1.0395126581464596e-09,2.297995122383655,,,
1992,0.9986278295934004,0.3368926012722607,0.437767571415713,,,
200185,-0.3108514436383578,0.7635016643902504,-0.1221500297780324,,,
200205,2.287286310371864,0.0585989561595841,0.6922568085732745,,,
200916,-1.3475822069478047,0.1865353962487476,-0.4312988339682341,,,
2017,3.59067313114324,0.0045952085287068,1.642029089815693,,,
2026,1.1805282417256904,0.2691456310192386,0.5472162893648828,,,
2029,4.071603833821824,0.0032342693444978,1.9285246844381465,,,
203054,3.0617429929179343,0.0049061929859174,0.9905874273051476,,,
203069,,,,-1.5925379604174998,0.1263072303928934,-0.4887927661293025
2039,,,,0.3195432105740826,0.7577474134519961,0.1914482538326454
2049,3.2234857966754515,0.0026884609779788,0.9800204608388384,,,
2052,3.56142322659837,0.0055281998839402,0.8824247377535002,,,
2053,,,,-5.930926258702377,2.1065662338172785e-06,-1.5924493155315993
2063,2.545159266759389,0.0375265251390234,1.315266432551348,,,
208,3.2104541900476287,0.01637456452343,2.1418147400411542,,,
2091,-0.7461139812325175,0.4673294430089451,-0.2681815707631785,,,
2120,3.657931273610489,0.0113278577134789,1.130236645389135,,,
2122,3.605758303286029,0.0007173008911354,0.9479178151693154,,,
2139,-0.0592888596955415,0.953737212575414,-0.0228030023064854,,,
2146,1.263718570411291,0.2279982032299676,0.5044117897287612,,,
2162,0.1978485003245945,0.8463462890965047,0.0859962837543497,,,
2166,1.358308599708543,0.2142653756645152,0.9148505697944306,,,
2185,,,,-2.119174674625302,0.0491638939240854,-0.7183161448928428
2192,,,,-0.8269849503462283,0.4250859176739355,-0.3984134471524925
2193,0.7426253268065046,0.4660213655301106,0.2213055066821751,,,
2209,-1.3080859640873468,0.2222654718175429,-0.4963161827940857,,,
221656,1.1825172202671583,0.2736001973053335,0.6531707305958044,,,
2222,,,,-3.3161325826472843,0.0054709922295089,-1.094721433809804
2224,2.4128541899724696,0.0541553043530525,1.3045899151512552,,,
2271,2.516273728557829,0.0387498056219409,0.9584916956108668,,,
2275,0.9518844159817844,0.3533995585892593,0.3011683807812469,,,
22796,0.8774737902091843,0.4143569653205755,0.4261823013945827,,,
22808,-0.6269894232032955,0.5389858664347618,-0.2216473432954068,,,
22827,5.9023974810018345,2.814715757836215e-07,1.5186390198306612,,,
2288,4.95523070638299,0.0006468634983744,2.0503975904675804,,,
22882,0.9574432283411292,0.3432586880989251,0.246743229831044,,,
22887,3.6513394207602894,0.0037326812763221,1.6296456853951629,,,
22888,1.1226422268017415,0.3503767385809957,0.7703595206934912,,,
22898,2.029128855888555,0.0521412129591397,0.6525607467532195,,,
22916,1.494626154783506,0.1425696634209333,0.4429820937102473,,,
22933,3.201612309491267,0.0092347160685682,1.666297314326311,,,
22948,0.6249914882190819,0.5467512301052189,0.2827032755185035,,,
22974,1.6857063178764535,0.1578511441640288,0.9591294379292932,,,
22976,1.8301847303898595,0.091026445064201,0.7762729917438506,,,
22989,0.6494739090102681,0.5464292745945801,0.2012871351124182,,,
23012,3.455062779043633,0.011536922828507,1.9923745306275684,,,
23029,1.9509633737237388,0.0800046268335633,0.6452713981899448,,,
23039,,,,-9.541440032099676,1.76962350165395e-07,-3.855724516953837
23070,1.540131393219776,0.1565007472734742,0.7253454595130641,,,
23085,8.282417163638936,1.890518187683079e-05,2.7602000125029584,,,
23094,1.8384122460126675,0.0963925248227713,0.8763672523592644,,,
231,0.4749949516069193,0.6445840840429917,0.1988419825138657,,,
23126,1.189209353699782,0.276630382637488,0.8316105879394559,,,
23151,,,,-3.0211349415300446,0.0083489397790481,-1.3860893032735455
23165,1.2231041839978818,0.251220340776926,0.5079927539143089,,,
23167,3.940913337873591,0.0003042015784264,1.0540808831425552,,,
23200,2.322253152112509,0.0263112529910965,0.7231240507112052,,,
23201,1.880816961589975,0.1119223465108086,1.0897522601710423,,,
23213,1.0136321322093318,0.4018277261383103,0.5516388339531553,,,
23246,2.739780906107843,0.0089655277934259,0.7578510535867072,,,
23248,2.574502928942187,0.039967965046128,1.832850662895384,,,
23303,,,,-2.6769622262878587,0.0192676674821275,-0.9652300441995836
23309,4.654662964138688,0.0010475489599695,1.6721885675916115,,,
23334,1.5932508071277585,0.1344869491751947,0.464960681994048,,,
23350,2.8119644419142618,0.01299054173597,0.8531371297334446,,,
23354,0.2264904433330725,0.825672009034151,0.0918461156713881,,,
23355,0.0266635626925857,0.9788538163483052,0.0078066332362894,,,
23373,2.477991919287043,0.1111409319209707,1.4023558097844322,,,
23381,2.7491850859498945,0.0180466350217279,0.7816964309891449,,,
23383,0.1904474033630419,0.8542074783390581,0.0515169943287088,,,
23408,2.319979578798712,0.0383195267482826,1.0148106242464574,,,
23456,1.1879872285106423,0.2677574236341833,0.4458687747261006,,,
23476,6.622005094124132,8.073661048240409e-06,2.6133164637208,,,
23509,2.9724667122142168,0.049481171616364,1.7292389183629278,,,
23513,8.889760912654237,5.553238915438083e-12,2.288411072508032,,,
23516,,,,-3.354120460802543,0.0021741616031858,-0.910174475599272
23527,6.334933654143013,3.323043212953412e-07,1.9415005037214197,-5.367751003201776,0.0080337291343269,-2.1841370020432973
23557,2.1493270537224167,0.0517512113747642,0.7254101190407864,,,
23601,1.248781903845814,0.2280873894329811,0.4441732765856896,,,
23608,0.213900476997509,0.8431618553384228,0.1893631058391896,,,
23613,0.3148913520770854,0.7587898784650831,0.1329805271170979,,,
23646,4.643531552183905,0.0160231984327062,3.778029006330207,,,
23654,,,,-5.019850693480167,3.988421584270246e-05,-1.8469451982983585
