Protein,MissingPercent
ORC1,89.85507246376811
MGAT4B,89.85507246376811
ANKRD50,89.3719806763285
NGB,89.3719806763285
RETN,89.3719806763285
AGGF1,89.3719806763285
GSDMA,89.3719806763285
GIMAP2,88.88888888888889
LCA5,88.88888888888889
PROSER1,88.88888888888889
RSPH4A,88.88888888888889
CAPN6,88.88888888888889
PLCL1,88.88888888888889
YRDC,88.88888888888889
KLHDC3,88.88888888888889
PCDHA10,88.88888888888889
FRS2,88.88888888888889
PLEK2,88.88888888888889
NEK4,88.88888888888889
AFF1,88.88888888888889
SST,88.88888888888889
LILRB5,88.88888888888889
SLC15A3,88.88888888888889
RGS14,88.88888888888889
NPHP4,88.40579710144928
POC1B,88.40579710144928
RAB36,88.40579710144928
PDZK1,88.40579710144928
LTBR,88.40579710144928
EMILIN3,88.40579710144928
SLC25A42,88.40579710144928
ZNF623,88.40579710144928
ZSCAN31,88.40579710144928
CNTFR,88.40579710144928
ABCA3,88.40579710144928
SEMA7A,87.92270531400966
CAPN15,87.92270531400966
STAG3,87.92270531400966
MMP19,87.92270531400966
CEP63,87.92270531400966
RAD17,87.92270531400966
GTF3A,87.43961352657004
PEX26,87.43961352657004
SLC25A30,87.43961352657004
PWWP2B,87.43961352657004
DNAJB13,87.43961352657004
LOXL3,87.43961352657004
TAF3,87.43961352657004
CDC45,87.43961352657004
MCM10,87.43961352657004
CD177,87.43961352657004
NDST1,87.43961352657004
DTX2,87.43961352657004
MYH1,87.43961352657004
MDM1,86.95652173913044
C5orf30,86.95652173913044
CCDC78,86.95652173913044
INMT,86.95652173913044
C21orf2,86.95652173913044
WNT6,86.95652173913044
MIS18BP1,86.95652173913044
N4BP2,86.95652173913044
TRIM62,86.95652173913044
LRRK2,86.47342995169082
ZNF670,86.47342995169082
NBPF14,86.47342995169082
EVA1C,86.47342995169082
TRPC4AP,86.47342995169082
MTERF1,86.47342995169082
DZIP3,86.47342995169082
PASK,86.47342995169082
FRMD4B,86.47342995169082
WDR76,86.47342995169082
SULT1E1,86.47342995169082
PTPN7,86.47342995169082
NME4,86.47342995169082
MATN4,86.47342995169082
LPAR2,86.47342995169082
ZNF691,85.99033816425121
ZNF16,85.99033816425121
GATA6,85.99033816425121
ZNF624,85.99033816425121
LEFTY2,85.99033816425121
PIPOX,85.99033816425121
ZNF516,85.99033816425121
SERPINI1,85.99033816425121
TGFB3,85.99033816425121
SLC14A1,85.99033816425121
ZNF407,85.99033816425121
TCHP,85.99033816425121
SLC37A3,85.5072463768116
DENND5B,85.5072463768116
OBFC1,85.5072463768116
ZNF184,85.5072463768116
ZNF551,85.5072463768116
MPV17L2,85.5072463768116
USP35,85.5072463768116
ICE1,85.5072463768116
MED13,85.5072463768116
SLC15A2,85.5072463768116
IRF4,85.5072463768116
INHBA,85.5072463768116
KLHL12,85.5072463768116
