Pathway,Gene
Diseases of mitotic cell cycle,E2F3
Diseases of mitotic cell cycle,SKP2
Diseases of mitotic cell cycle,CCND1
Diseases of mitotic cell cycle,CDK4
positive regulation of macromolecule biosynthetic process,EIF4G1
positive regulation of macromolecule biosynthetic process,NCOA2
positive regulation of macromolecule biosynthetic process,IGF2BP2
positive regulation of macromolecule biosynthetic process,SUB1
positive regulation of macromolecule biosynthetic process,CLNS1A
positive regulation of macromolecule biosynthetic process,IL1RAP
positive regulation of macromolecule biosynthetic process,DHX36
positive regulation of macromolecule biosynthetic process,TRA2B
positive regulation of macromolecule biosynthetic process,AKT2
positive regulation of macromolecule biosynthetic process,MECOM
positive regulation of macromolecule biosynthetic process,NCBP2
positive regulation of macromolecule biosynthetic process,RFX5
positive regulation of macromolecule biosynthetic process,PIK3CB
positive regulation of macromolecule biosynthetic process,WWTR1
positive regulation of macromolecule biosynthetic process,AGO2
positive regulation of macromolecule biosynthetic process,HLTF
positive regulation of macromolecule biosynthetic process,PDCD5
positive regulation of macromolecule biosynthetic process,ASPH
positive regulation of macromolecule biosynthetic process,OPA1
positive regulation of macromolecule biosynthetic process,RSF1
positive regulation of macromolecule biosynthetic process,PLSCR1
positive regulation of macromolecule biosynthetic process,MED29
positive regulation of macromolecule biosynthetic process,RBM38
positive regulation of macromolecule biosynthetic process,CHD7
positive regulation of macromolecule biosynthetic process,SMYD3
positive regulation of macromolecule biosynthetic process,WNK1
positive regulation of macromolecule biosynthetic process,SUPT5H
positive regulation of macromolecule biosynthetic process,PAX8
positive regulation of macromolecule biosynthetic process,E2F3
positive regulation of macromolecule biosynthetic process,KRAS
positive regulation of macromolecule biosynthetic process,ACTR3
positive regulation of macromolecule biosynthetic process,TMED2
positive regulation of macromolecule biosynthetic process,ATXN7L3
positive regulation of macromolecule biosynthetic process,FBXW11
positive regulation of macromolecule biosynthetic process,SOX17
positive regulation of macromolecule biosynthetic process,SUPT7L
positive regulation of macromolecule biosynthetic process,TRAF2
positive regulation of macromolecule biosynthetic process,VEZF1
positive regulation of macromolecule biosynthetic process,WT1
positive regulation of macromolecule biosynthetic process,RAF1
positive regulation of macromolecule biosynthetic process,MYBL2
positive regulation of macromolecule biosynthetic process,ZNF780B
positive regulation of nucleobase-containing compound metabolic process,NCOA2
positive regulation of nucleobase-containing compound metabolic process,SUB1
positive regulation of nucleobase-containing compound metabolic process,CLNS1A
positive regulation of nucleobase-containing compound metabolic process,DHX36
positive regulation of nucleobase-containing compound metabolic process,TRA2B
positive regulation of nucleobase-containing compound metabolic process,MECOM
positive regulation of nucleobase-containing compound metabolic process,NCBP2
positive regulation of nucleobase-containing compound metabolic process,RFX5
positive regulation of nucleobase-containing compound metabolic process,WWTR1
positive regulation of nucleobase-containing compound metabolic process,AGO2
positive regulation of nucleobase-containing compound metabolic process,HLTF
positive regulation of nucleobase-containing compound metabolic process,ASPH
positive regulation of nucleobase-containing compound metabolic process,RSF1
positive regulation of nucleobase-containing compound metabolic process,PLSCR1
positive regulation of nucleobase-containing compound metabolic process,MED29
positive regulation of nucleobase-containing compound metabolic process,CHD7
positive regulation of nucleobase-containing compound metabolic process,SMYD3
positive regulation of nucleobase-containing compound metabolic process,WNK1
positive regulation of nucleobase-containing compound metabolic process,SUPT5H
positive regulation of nucleobase-containing compound metabolic process,PAX8
positive regulation of nucleobase-containing compound metabolic process,E2F3
positive regulation of nucleobase-containing compound metabolic process,SKP2
positive regulation of nucleobase-containing compound metabolic process,WDR48
