Unnamed: 0,Gene,Gene_HGNC,Sample,CNA,Protein
267,10016,PDCD6,TCGA-36-1569-01,1,0.1318
268,10016,PDCD6,TCGA-36-1570-01,0,-0.3124
269,10016,PDCD6,TCGA-36-1571-01,0,-0.4924
270,10016,PDCD6,TCGA-36-1577-01,-1,-0.4842
271,10016,PDCD6,TCGA-36-1578-01,1,0.5122
272,10016,PDCD6,TCGA-36-1580-01,-1,-0.3999
273,10016,PDCD6,TCGA-36-2530-01,0,-0.1364
274,10016,PDCD6,TCGA-36-2532-01,0,-0.1108
275,10016,PDCD6,TCGA-36-2534-01,0,0.1237
276,10016,PDCD6,TCGA-36-2537-01,0,0.2557
277,10016,PDCD6,TCGA-36-2542-01,1,0.3007
278,10016,PDCD6,TCGA-36-2544-01,1,0.1151
279,10016,PDCD6,TCGA-36-2545-01,0,-0.2265
280,10016,PDCD6,TCGA-36-2547-01,1,-0.0361
281,10016,PDCD6,TCGA-36-2549-01,0,0.0636
282,10016,PDCD6,TCGA-59-2348-01,0,0.1727
283,10016,PDCD6,TCGA-59-2351-01,1,-0.2736
284,10016,PDCD6,TCGA-59-2352-01,-1,-0.5172
285,10016,PDCD6,TCGA-59-2372-01,0,0.1524
286,10016,PDCD6,TCGA-61-1724-01,1,0.663
287,10016,PDCD6,TCGA-61-1727-01,0,0.1896
288,10016,PDCD6,TCGA-61-1741-01,-1,-0.2515
289,10016,PDCD6,TCGA-61-1907-01,-1,-0.428
290,10016,PDCD6,TCGA-61-1910-01,0,0.351
291,10016,PDCD6,TCGA-61-1911-01,0,0.0119
292,10016,PDCD6,TCGA-61-1914-01,2,0.5857
293,10016,PDCD6,TCGA-61-1915-01,0,0.1373
294,10016,PDCD6,TCGA-61-1918-01,1,0.4075
295,10016,PDCD6,TCGA-61-1995-01,0,-0.1526
296,10016,PDCD6,TCGA-61-2008-01,1,-0.0624
297,10016,PDCD6,TCGA-61-2087-01,1,0.2894
298,10016,PDCD6,TCGA-61-2088-01,0,-0.3368
299,10016,PDCD6,TCGA-61-2094-01,0,-0.1025
300,10016,PDCD6,TCGA-61-2613-01,0,-0.3067
301,1004,CDH6,TCGA-09-1664-01,0,-0.6626
302,1004,CDH6,TCGA-13-1404-01,1,-1.0588
303,1004,CDH6,TCGA-13-1409-01,1,0.6523
304,1004,CDH6,TCGA-13-1410-01,0,0.4544
305,1004,CDH6,TCGA-13-1482-01,0,-0.5407
306,1004,CDH6,TCGA-13-1483-01,0,0.0184
307,1004,CDH6,TCGA-13-1485-01,0,-0.1883
308,1004,CDH6,TCGA-13-1487-01,0,0.0427
309,1004,CDH6,TCGA-13-1488-01,1,0.1256
310,1004,CDH6,TCGA-13-1489-01,1,0.9186
311,1004,CDH6,TCGA-13-1492-01,1,-0.4755
312,1004,CDH6,TCGA-13-1494-01,0,-0.5041
313,1004,CDH6,TCGA-13-1497-01,1,-1.0362
314,1004,CDH6,TCGA-13-1500-01,0,0.0347
315,1004,CDH6,TCGA-13-1501-01,1,0.7162
316,1004,CDH6,TCGA-13-1504-01,1,-0.3182
317,1004,CDH6,TCGA-13-1507-01,1,1.3849
318,1004,CDH6,TCGA-13-1511-01,0,-1.2062
319,1004,CDH6,TCGA-13-2059-01,-1,-0.744
320,1004,CDH6,TCGA-13-2060-01,-1,-1.3426
321,1004,CDH6,TCGA-13-2061-01,1,-1.1935
322,1004,CDH6,TCGA-13-2065-01,1,-0.6557
323,1004,CDH6,TCGA-23-1121-01,1,0.2322
324,1004,CDH6,TCGA-23-1122-01,1,-0.1266
325,1004,CDH6,TCGA-24-1103-01,1,-0.2617
326,1004,CDH6,TCGA-24-1416-01,0,-0.6103
327,1004,CDH6,TCGA-24-1422-01,-1,-0.5701
328,1004,CDH6,TCGA-24-1430-01,0,0.2663
329,1004,CDH6,TCGA-24-1431-01,0,0.319
330,1004,CDH6,TCGA-24-1435-01,1,0.2653
331,1004,CDH6,TCGA-24-1436-01,1,0.0384
332,1004,CDH6,TCGA-24-1464-01,-1,1.0071
333,1004,CDH6,TCGA-24-1474-01,1,-0.7803
334,1004,CDH6,TCGA-24-1544-01,1,0.4416
335,1004,CDH6,TCGA-24-1548-01,-1,0.3874
336,1004,CDH6,TCGA-24-1553-01,1,0.4466
337,1004,CDH6,TCGA-24-1555-01,1,0.7319
338,1004,CDH6,TCGA-24-1557-01,2,-0.6579
339,1004,CDH6,TCGA-24-1558-01,0,-1.472
340,1004,CDH6,TCGA-24-1562-01,0,-0.3449
341,1004,CDH6,TCGA-24-1565-01,0,-1.6108
342,1004,CDH6,TCGA-24-1920-01,0,-0.3476
343,1004,CDH6,TCGA-24-1927-01,0,-1.2249
344,1004,CDH6,TCGA-24-2024-01,0,0.407
345,1004,CDH6,TCGA-24-2030-01,1,0.4604
346,1004,CDH6,TCGA-24-2033-01,0,-0.4316
347,1004,CDH6,TCGA-24-2261-01,0,-0.1143
348,1004,CDH6,TCGA-24-2289-01,1,-0.0371
349,1004,CDH6,TCGA-24-2290-01,0,-0.8262
350,1004,CDH6,TCGA-24-2298-01,1,0.6059
351,1004,CDH6,TCGA-25-1312-01,-1,-0.7483
352,1004,CDH6,TCGA-25-1313-01,1,0.9454
353,1004,CDH6,TCGA-25-1318-01,1,1.3253
354,1004,CDH6,TCGA-25-1322-01,2,-0.042
355,1004,CDH6,TCGA-25-1323-01,-1,0.0413
356,1004,CDH6,TCGA-25-1329-01,1,-0.2094
357,1004,CDH6,TCGA-25-1623-01,2,0.8783
358,1004,CDH6,TCGA-25-1628-01,0,0.1643
359,1004,CDH6,TCGA-25-1631-01,1,-0.1216
360,1004,CDH6,TCGA-25-2396-01,1,-0.8716
361,1004,CDH6,TCGA-25-2397-01,1,1.2378
362,1004,CDH6,TCGA-25-2399-01,0,0.7249
363,1004,CDH6,TCGA-25-2404-01,1,-1.2865
364,1004,CDH6,TCGA-29-1688-01,1,-0.5018
365,1004,CDH6,TCGA-29-1690-01,0,0.4803
366,1004,CDH6,TCGA-29-1693-01,0,0.9992
367,1004,CDH6,TCGA-29-1696-01,0,-0.6425
368,1004,CDH6,TCGA-29-1697-01,1,0.359
369,1004,CDH6,TCGA-29-1698-01,0,-0.5517
370,1004,CDH6,TCGA-29-1702-01,-1,-0.8764
371,1004,CDH6,TCGA-29-1705-01,0,-0.6584
372,1004,CDH6,TCGA-29-1710-01,0,-0.341
373,1004,CDH6,TCGA-29-1711-01,0,-0.7912
374,1004,CDH6,TCGA-29-1762-01,0,0.4718
375,1004,CDH6,TCGA-29-1763-01,1,-0.0434
376,1004,CDH6,TCGA-29-1766-01,2,-0.4601
377,1004,CDH6,TCGA-29-1768-01,1,-1.2359
378,1004,CDH6,TCGA-29-1769-01,1,-0.7468
379,1004,CDH6,TCGA-29-1770-01,2,0.7428
380,1004,CDH6,TCGA-29-1771-01,0,0.0893
381,1004,CDH6,TCGA-29-1785-01,0,1.3026
382,1004,CDH6,TCGA-29-2427-01,0,-0.1507
383,1004,CDH6,TCGA-29-2431-01,0,-0.6806
384,1004,CDH6,TCGA-30-1887-01,1,0.4444
385,1004,CDH6,TCGA-30-1891-01,1,-0.6243
386,1004,CDH6,TCGA-36-1569-01,-1,-0.9402
387,1004,CDH6,TCGA-36-1570-01,0,-0.0275
388,1004,CDH6,TCGA-36-1571-01,0,0.5378
389,1004,CDH6,TCGA-36-1577-01,0,-1.9108
390,1004,CDH6,TCGA-36-1578-01,1,0.5113
391,1004,CDH6,TCGA-36-1580-01,0,-0.1046
392,1004,CDH6,TCGA-36-2530-01,0,-0.8151
393,1004,CDH6,TCGA-36-2532-01,0,-0.1744
394,1004,CDH6,TCGA-36-2534-01,0,-0.8231
395,1004,CDH6,TCGA-36-2537-01,0,0.9508
396,1004,CDH6,TCGA-36-2542-01,0,0.2496
397,1004,CDH6,TCGA-36-2544-01,-1,0.1707
398,1004,CDH6,TCGA-36-2545-01,1,0.3552
399,1004,CDH6,TCGA-36-2547-01,1,-0.4075
400,1004,CDH6,TCGA-36-2549-01,0,-0.2899
401,1004,CDH6,TCGA-59-2348-01,1,0.4978
402,1004,CDH6,TCGA-59-2351-01,1,0.0613
403,1004,CDH6,TCGA-59-2352-01,-1,-1.8761
404,1004,CDH6,TCGA-59-2372-01,1,0.4536
405,1004,CDH6,TCGA-61-1724-01,1,0.9936
406,1004,CDH6,TCGA-61-1727-01,0,0.2917
407,1004,CDH6,TCGA-61-1741-01,-1,-1.4378
408,1004,CDH6,TCGA-61-1907-01,0,-2.1541
409,1004,CDH6,TCGA-61-1910-01,0,-0.035
410,1004,CDH6,TCGA-61-1911-01,0,-1.6134
411,1004,CDH6,TCGA-61-1914-01,1,1.1435
412,1004,CDH6,TCGA-61-1915-01,0,-2.1378
413,1004,CDH6,TCGA-61-1918-01,1,-0.3022
414,1004,CDH6,TCGA-61-1995-01,0,-0.7042
415,1004,CDH6,TCGA-61-2008-01,1,0.8231
416,1004,CDH6,TCGA-61-2087-01,1,-1.0008
417,1004,CDH6,TCGA-61-2088-01,0,-0.491
418,1004,CDH6,TCGA-61-2094-01,0,-1.063
419,1004,CDH6,TCGA-61-2613-01,0,0.1828
420,10048,RANBP9,TCGA-09-1664-01,0,-0.067
421,10048,RANBP9,TCGA-13-1404-01,2,0.1224
422,10048,RANBP9,TCGA-13-1409-01,1,0.1701
423,10048,RANBP9,TCGA-13-1410-01,1,0.3756
424,10048,RANBP9,TCGA-13-1482-01,0,-0.0866
425,10048,RANBP9,TCGA-13-1483-01,2,0.142
426,10048,RANBP9,TCGA-13-1485-01,0,0.1878
427,10048,RANBP9,TCGA-13-1487-01,1,0.0176
428,10048,RANBP9,TCGA-13-1488-01,1,0.0636
429,10048,RANBP9,TCGA-13-1489-01,1,0.3475
430,10048,RANBP9,TCGA-13-1492-01,0,0.0675
431,10048,RANBP9,TCGA-13-1494-01,1,0.2349
432,10048,RANBP9,TCGA-13-1497-01,1,0.1253
433,10048,RANBP9,TCGA-13-1500-01,0,0.0122
434,10048,RANBP9,TCGA-13-1501-01,0,0.1618
435,10048,RANBP9,TCGA-13-1504-01,0,0.0524
436,10048,RANBP9,TCGA-13-1507-01,0,-0.0015
437,10048,RANBP9,TCGA-13-1511-01,0,0.0739
438,10048,RANBP9,TCGA-13-2059-01,-1,0.0993
439,10048,RANBP9,TCGA-13-2060-01,1,0.0862
440,10048,RANBP9,TCGA-13-2061-01,1,0.5279
441,10048,RANBP9,TCGA-13-2065-01,2,-0.3713
442,10048,RANBP9,TCGA-23-1121-01,2,0.5063
443,10048,RANBP9,TCGA-23-1122-01,1,0.1621
444,10048,RANBP9,TCGA-24-1103-01,-1,-0.3473
445,10048,RANBP9,TCGA-24-1416-01,-1,-0.0872
446,10048,RANBP9,TCGA-24-1422-01,0,0.1622
447,10048,RANBP9,TCGA-24-1430-01,1,0.2569
448,10048,RANBP9,TCGA-24-1431-01,0,0.0848
449,10048,RANBP9,TCGA-24-1435-01,2,0.3351
450,10048,RANBP9,TCGA-24-1436-01,-1,-0.1746
451,10048,RANBP9,TCGA-24-1464-01,1,0.1763
452,10048,RANBP9,TCGA-24-1474-01,1,0.5842
453,10048,RANBP9,TCGA-24-1544-01,0,0.2594
454,10048,RANBP9,TCGA-24-1548-01,0,-0.0747
