Gene,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
MAPK12,0.15375909090909096,0.08182368411089852,49,0.06304233456890729
SBF1,0.14025441409691625,6.57051530240363e-06,116,0.16386715203761537
BICD1,0.25575926614812305,1.2909518373716583e-06,119,0.1822157092621134
SDC2,0.08942260924635848,0.14684167067072604,71,0.030257771619131346
SDHA,0.12388873587570622,2.6011701852559878e-05,119,0.14086384627905113
SH2D4A,0.22124605796198188,5.0098309306778695e-06,119,0.16373979247638903
BLOC1S5,0.07705979017347048,0.000927311176711242,116,0.09210295878118469
MCUR1,0.18134380696424401,1.5756602172736325e-07,117,0.21345142372439185
KIF13A,0.08955729691876746,0.013770915586736009,107,0.05640483166272747
C19orf33,0.46602636198223285,1.0928881463589166e-05,104,0.1734891033957494
GOLPH3,0.1729582219419924,5.1078576611338e-08,119,0.22485025330644193
PARVG,0.06472762070465424,0.25692781688504973,119,0.010971292186665038
RRAGC,0.15273220910623947,1.0217252368965394e-09,119,0.2738408206680233
TFB2M,0.24355623910336227,2.692508499546751e-10,117,0.29411317451798413
PDLIM2,0.12119677102114408,0.08777548709329136,114,0.025801629067303655
SOX17,0.03378270735524256,0.36133825279191945,119,0.0071266468579994635
TRA2B,0.09916004283137968,2.6095510263228652e-06,119,0.17266778772802482
NOM1,0.1852966853207061,1.7554506322613548e-06,113,0.18676068454921735
VPS16,0.0029650528169014,0.8836174926868031,119,0.00018391750844970467
SHC1,0.12890536296900493,0.001405627877159484,117,0.08521410341129643
C6orf132,0.17409792022792026,0.00028750508798190417,106,0.11930688667090183
WDR13,0.06058167701863353,0.00804033777601222,119,0.058512307316741285
MFSD1,0.06944258064516126,0.186628424266336,56,0.03207098632117367
SMYD3,0.2302587585481326,3.9900701321934415e-07,115,0.2042061728990543
PARP12,-0.009484061083273678,0.7987338299033249,119,0.0005579327340038409
