Biomarker,Target,Tractability_Flags,Tractability_Interpretation,Known_Drugs,Approved Drug,Advanced Clinical,Phase 1 Clinical,Clinical Precedence,Structure with Ligand,High-Quality Ligand,High-Quality Pocket,Druggable Family
ALG8,TOMM20,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
KCTD21,TRUB2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,TTF2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
KCTD21,ZNF780B,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,ACLY,5,HIGH tractability (approved drug exists),BEMPEDOIC ACID,1,0,0,0,1,1,1,1
AAMDC,ARID1A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,BCS1L,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,BRPF1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
AAMDC,CFDP1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,COA7,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,DPRX,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,FAM98C,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,GLMN,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,KDM2A,4,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,1,1
AAMDC,LENG8,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,MEN1,3,MODERATE tractability (clinical-stage target),REVUMENIB; SNDX-5613,0,0,1,0,1,1,0,0
AAMDC,MRPL33,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
AAMDC,MRPS12,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
AAMDC,MRPS18B,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
AAMDC,MRPS23,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
AAMDC,MYBL2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,NSMCE2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,PRPF39,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,RICTOR,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
AAMDC,SLC30A9,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,SUZ12,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
AAMDC,TAFAZZIN,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,TIMM17A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,TOE1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,TOMM20,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
AAMDC,TRUB2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,TTF2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
AAMDC,UQCRC2,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
AAMDC,ZNF780B,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
COMMD5,ESF1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
COMMD5,RRP36,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
REPIN1,CIT,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,0,1,0,1
REPIN1,TMED2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
HLTF,MYBL2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
HLTF,TIMM17A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
CERS2,ARHGAP29,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
CERS2,CEP350,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
CERS2,CEP55,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
CERS2,MARK2,3,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,1
CERS2,RAC1,3,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,1,0
CERS2,SAMD4B,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
CERS2,TMED10,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
CERS2,TRAF2,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,0,0,1,0
CERS2,VEZF1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
CERS2,VTI1B,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
CERS2,WDR26,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
CERS2,WT1,0,LOW tractability (no tractability evidence),OMBIPEPIMUT-S; GALINPEPIMUT-S,0,0,0,0,0,0,0,0
CERS2,WWTR1,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
DGAT1,COX20,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
HSF1,RHPN1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
HSF1,ZFP36L1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
