Biomarker,Biomarker_HGNC,Endpoint,N_patients,N_amplified,N_not_amplified,Amp_frequency,Univariate_HR,Univariate_coef,Univariate_p,Univariate_CI_lower,Univariate_CI_upper,Adjusted_HR,Adjusted_coef,Adjusted_p,Adjusted_CI_lower,Adjusted_CI_upper,Univariate_FDR,Adjusted_FDR
9276,COPB2,PFS,469,27,442,0.0575692963752665,1.2585129054648894,0.2299307901810121,0.3324736019681332,0.7905125918302808,2.003579385819225,1.2984506016028152,0.2611717087345807,0.2732198760498643,0.8138200388305813,2.071679099012324,0.9790247257982192,0.8908228531612116
10644,IGF2BP2,PFS,469,90,379,0.1918976545842217,0.8506204943753964,-0.1617892024305271,0.2616683936952074,0.6412759070945682,1.1283056441799897,0.8555423005636136,-0.156019741444321,0.2792760161120902,0.6449052212801888,1.1349770538385402,0.9790247257982192,0.8908228531612116
1936,EEF1D,PFS,469,125,344,0.2665245202558635,1.0998963261477068,0.0952159264059827,0.4345381169443508,0.8662372986634265,1.3965825878657707,1.1414028334131423,0.132258061518951,0.2871894358625184,0.8946699936896493,1.4561798621978552,0.9790247257982192,0.8908228531612116
389677,RBM12B,PFS,469,21,448,0.044776119402985,1.3666966577016042,0.3123966294610824,0.2247350602129827,0.8253531600799373,2.2631036561268263,1.3109107073471846,0.2707220921241792,0.2973747208732716,0.7878423035483113,2.1812574355270287,0.9790247257982192,0.8908228531612116
4067,LYN,PFS,469,23,446,0.0490405117270788,1.3382518156946874,0.2913641470583669,0.2188673712040423,0.8410648195312491,2.12934589656034,1.2810441173074638,0.2476754620619718,0.3011722112888249,0.8010495640282009,2.048654795136104,0.9790247257982192,0.8908228531612116
23350,U2SURP,PFS,469,29,440,0.0618336886993603,1.2124493086795043,0.1926425356809171,0.3843878156365679,0.7855049147793248,1.871450195229384,1.2557324951724456,0.2277190638116149,0.3069764670879892,0.811256495852007,1.9437306295784345,0.9790247257982192,0.8908228531612116
6874,TAF4,PFS,469,28,441,0.0597014925373134,0.7918366256398681,-0.2334001892042552,0.313694970948739,0.5028561356755977,1.2468879212587076,0.7908362950329708,-0.2346642921367539,0.3111199205447945,0.5022026642583631,1.2453578804984624,0.9790247257982192,0.8908228531612116
4976,OPA1,PFS,469,80,389,0.1705756929637526,0.8518878894385254,-0.1603003459769587,0.2830796718565862,0.6357233120800233,1.1415547650715605,0.8596826546356023,-0.1511919640718103,0.3117784430391936,0.6413663397977142,1.152312213507202,0.9790247257982192,0.8908228531612116
51663,ZFR,PFS,469,24,445,0.0511727078891258,1.34685101402896,0.2977692855418116,0.247735593139887,0.8128994128489916,2.231527819208571,1.2993351280793524,0.261852693698516,0.3123597024581744,0.7818085506042215,2.1594439888847523,0.9790247257982192,0.8908228531612116
10923,SUB1,PFS,469,24,445,0.0511727078891258,1.34685101402896,0.2977692855418116,0.247735593139887,0.8128994128489916,2.231527819208571,1.2993351280793524,0.261852693698516,0.3123597024581744,0.7818085506042215,2.1594439888847523,0.9790247257982192,0.8908228531612116
