Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared,P-value (FDR),Significant (FDR<0.05)
BPGM,669,0.01334262077294687,0.8037320641518183,119,0.0005300022578317298,0.8436118993959925,False
BPHL,670,0.27921989355845106,6.081340475264135e-10,119,0.280121022666148,5.10646910136683e-09,True
SQLE,6713,0.16944552845528452,0.00044482784733013695,119,0.1004535809707835,0.0010068120001299396,True
SRF,6722,0.032868346422338546,0.43479252886040964,89,0.007026931334187525,0.5104287958873539,False
SRMS,6725,-0.05508993933265923,0.20069590969451692,119,0.013955607828696426,0.2591144373990242,False
SRP9,6726,0.0728610358565737,0.09625639117120942,119,0.023466638733479872,0.13557238193128088,False
BRAF,673,0.11618829398538506,0.0004854745877827733,107,0.10993321855426486,0.001089840911349083,True
SSBP1,6742,0.24830338475708036,5.3230812916669706e-11,119,0.3089312712765533,5.955039861407056e-10,True
SSR1,6745,0.1345563541870954,3.222535037545197e-08,119,0.23076988722827152,1.7993850463450342e-07,True
SSR3,6747,0.12282050337630454,0.12489978051605434,116,0.020532841200117224,0.16953766623742825,False
SUPT5H,6829,0.18245154990700554,2.1916849496081662e-11,119,0.3191548273490248,2.7396061870102077e-10,True
BST2,684,0.2449724177666039,1.176747667024337e-06,119,0.18346555177826296,4.689936354082503e-06,True
TAF2,6873,0.055800710253141504,0.025618935667442933,117,0.04257312645492051,0.04072374166790061,True
TAF4,6874,0.1075346169772257,0.00496975329812477,107,0.07272323796976277,0.009126425088376038,True
TARBP1,6894,0.26840229276895944,1.3006057565716245e-07,103,0.2421209988728431,6.329913828101245e-07,True
TBCE,6905,0.1294693045256968,2.3215663524339785e-05,119,0.14245780899993055,6.996501336102401e-05,True
TBXAS1,6916,-0.04073084220268395,0.38397577744370737,119,0.006484681192000519,0.4590856971849971,False
TCEA1,6917,0.17676856151990347,7.553404565496362e-07,119,0.18942587826969337,3.195671162325384e-06,True
VPS72,6944,0.03719705497382199,0.4486115326678499,86,0.006852405859112509,0.522746489337537,False
PRDX2,7001,0.16531106695975656,1.3841255681749366e-05,119,0.14968007069614742,4.362573424047078e-05,True
TERF1,7013,0.09295595854922281,0.2486810223255263,51,0.027062054117786172,0.3137031244932098,False
TFAP2A,7020,0.05563198380566797,0.5003243454318526,54,0.00878109714637898,0.5726917585588323,False
TFDP2,7029,0.12425500834724534,0.06991612881350287,72,0.04616392934021374,0.10079651598276954,False
TFRC,7037,0.21577954796030868,0.00041947286715968883,119,0.10129926318934912,0.0009533474253629291,True
THBS3,7059,0.12168005349636997,0.04034135250101675,119,0.035437346404279535,0.06137688485631872,False
TCHH,7062,0.07254993773349937,0.29249170875474323,74,0.015378146348114519,0.3602921384436927,False
SEC62,7095,0.20322021660649825,2.9154960796625294e-09,119,0.2609942047166972,2.123871316310452e-08,True
C1R,715,0.08114481458202391,0.11749062182005236,119,0.020813954069440976,0.16215769636393676,False
C1S,716,0.03598778545987851,0.5275937398416668,119,0.00341920405230256,0.5989196221112832,False
TPD52L2,7165,0.2543261206606,2.3803964455483772e-11,119,0.31820930911335676,2.9093734334480166e-10,True
TPI1,7167,0.18089075445267166,2.4146176283342788e-08,119,0.23445865418322942,1.4053330111998448e-07,True
TPM4,7171,0.11762837914156629,0.0031489892245115053,119,0.07210722404707459,0.006130775481349833,True
TPMT,7172,0.1847961595273264,3.551423577479043e-05,119,0.1364886256801643,0.00010445363463173655,True
CCT3,7203,0.02734434466946888,0.3691684605797644,119,0.0068984318486834395,0.44380907829261296,False
TRIO,7204,0.1477988691852995,9.128346890447563e-08,119,0.2173310406959913,4.564173445223781e-07,True
TRPS1,7227,0.16490372905357567,0.0003663611017307057,113,0.10853878998958455,0.0008448578865907259,True
TSNAX,7257,0.10463955696202527,0.0008115650852307612,119,0.09177071909489043,0.0017538734651352404,True
MROH1,727957,0.3930186708860763,6.754112097598069e-15,117,0.41124744678179204,1.9050059762456093e-13,True
TUBB2A,7280,-0.005526160763442846,0.9148426709380366,119,9.814467519420056e-05,0.9317842018813336,False
TUFT1,7286,0.04110679611650488,0.5041956361572886,105,0.004342622082256775,0.5753269707188977,False
TYK2,7297,0.0881559322033898,0.012015606021994906,77,0.0811871363457245,0.02052355065868695,True
TYROBP,7305,-0.02466330306088127,0.6814022586886064,89,0.0019466419754368136,0.7384655020270611,False
UBE2H,7328,0.18234399641577065,3.1532041514678807e-06,119,0.17008518503999748,1.1274901792829529e-05,True
C9,735,0.12132576315789476,0.0656945314011901,119,0.028657595359386057,0.0954610099620992,False
SLC35A2,7355,0.10138849085365853,0.0033108553659868603,87,0.09705738794793617,0.006400599125809397,True
COL14A1,7373,-0.11436816171266803,0.23582803746748868,119,0.011990554101800166,0.29886041614543496,False
UQCRB,7381,0.015053152364273207,0.7127900059123023,119,0.0011624556814580078,0.7641998114069518,False
UQCRFS1,7386,-0.04623147625763985,0.16843146574576304,119,0.016149888248909394,0.2197800857892519,False
UQCRH,7388,-0.037513334119311424,0.6274913504803327,119,0.0020192094281261674,0.6902404855283659,False
USF2,7392,0.09712110507246378,8.714721606014749e-05,117,0.12581200935919434,0.00023043735015904383,True
UVRAG,7405,0.07068476073619634,0.011100151045718576,113,0.05669162555977747,0.019018950389860487,True
VWF,7450,0.030090984743411934,0.4292811714275967,119,0.005348397123999593,0.5057270897679125,False
WAS,7454,0.03411454463480612,0.44426439039182064,117,0.005098197528931037,0.5187800737059477,False
WNT11,7481,-0.04132714285714281,0.6825393585587016,75,0.0023046111635511846,0.7389697779670983,False
WRN,7486,0.11156714665485158,0.034853834731183767,81,0.055136318415058505,0.05384721657907605,False
YWHAZ,7534,0.2826349447513811,6.738563970908773e-16,119,0.4285686538829565,2.96496814719986e-14,True
CA8,767,0.20404176367869606,0.03497419300266595,114,0.0390927054982908,0.0539573805090218,False
ZNF121,7675,0.2592787124463518,9.660218157268439e-09,102,0.28157095455919523,6.107034467238669e-08,True
ZNF146,7705,0.13914762812872464,0.00021355477286337936,68,0.18880508960007059,0.0005197129428091091,True
ZYX,7791,0.0746107421875,0.041780913135771196,119,0.03494533084687235,0.06330441384207756,False
YIPF2,78992,-0.003956329849012772,0.949638765736003,47,8.963611758872059e-05,0.9583510479904618,False
DDA1,79016,0.07453635972461273,0.02030054109108859,116,0.04634304039081072,0.03298463101949402,True
ERI3,79033,0.15032157423526482,8.651876524383783e-06,119,0.15620291095570427,2.8240546518760125e-05,True
